PatternID,Text,Cause,Effect
76,"You can see an example of a population pyramid in Figure 23.5. The graph in the figure actually has a pyramid shape because the bars become narrower from younger to older ages. However, this is not always the case.",the bars become narrower from younger to older ages .,The graph in the figure actually has a pyramid shape
0,"It could also lead to devastating outbreaks of disease, starvation, and war. To solve these problems, two approaches may be needed: Slow down human population growth so there are fewer people. Distribute Earths resources more fairly so that everyone has enough.","To solve these problems , two approaches may be needed : Slow down human population growth",there are fewer people .
0,"To solve these problems, two approaches may be needed: Slow down human population growth so there are fewer people. Distribute Earths resources more fairly so that everyone has enough. Hopefully, we will act before its too late.","solve these problems , two approaches may be needed : Slow down human population growth so there are fewer people . Distribute Earths resources more fairly",that everyone has enough .
81,"This part of the water is called the photic zone. Below 200 meters, there is too little sunlight for photosynthesis to take place. This part of the water is called the aphotic zone.",Below 200 meters,there is too little sunlight for photosynthesis to take place .
68,"You can read about three different terrestrial biomes in Figure 23.19: tropical rainforest, temperate grassland, and tundra. You can learn more about these and other terrestrial biomes by watching this video:   MEDIA Click image to the left or use the URL below.",watching this video,You can learn more about these and other terrestrial biomes
48,A lake is an example of a freshwater biome. Water in a lake generally forms three different zones based on water depth and distance from shore. The shallow water near the shore is called the littoral zone.,water depth and distance from shore,Water in a lake generally forms three different zones
82,"The deeper water of a lake makes up the profundal zone. There isnt enough light for photosynthesis in this zone, so most organisms here eat dead organisms that drift down from the water above. Organisms in the profundal zone may include clams, snails, and some species of fish.","There isnt enough light for photosynthesis in this zone , so most",drift down from the water above .
1,"Many nutrients enter the water from the land. Therefore, water nearer shore usually contains more dissolved nutrients than water farther from shore. ",Many nutrients enter the water from the land,water nearer shore usually contains more dissolved nutrients than water farther from shore .
29,Sublimation takes place when snow and ice on Earths surface change directly to water vapor without first melting to form liquid water. This also happens because of heat from the sun. Transpiration takes place when plants release water vapor through pores in their leaves called stomata.,This also happens,. Transpiration takes place when plants release water vapor through pores in their leaves called stomata
1,"Most organisms contain a large amount of water, and many live in water. Therefore, the water cycle is essential to life on Earth. Water on Earth is billions of years old.","Most organisms contain a large amount of water , and many live in water",the water cycle is essential to life on Earth .
80,"During the water cycle, water occurs in three different states: gas (water vapor), liquid (water), and solid (ice). Many processes are involved as water changes state to move through the cycle. Watch this video for an excellent visual introduction to the water cycle:  .",water changes state to move through the cycle .,Many processes are involved
80,"Rising air currents carry water vapor into the atmosphere. As the water vapor rises in the atmosphere, it cools and condenses. Condensation is the process in which water vapor changes to tiny droplets of liquid water.","the water vapor rises in the atmosphere , it cools and condenses .",Rising air currents carry water vapor into the atmosphere .
15,"The water droplets may form clouds. If the droplets get big enough, they fall as precipitation. Precipitation is any form of water that falls from the atmosphere.",the droplets get big enough,they fall as precipitation .
15,"Carbon can be stored in these reservoirs for millions of years. However, if fossil fuels are extracted and burned, the stored carbon enters the atmosphere as carbon dioxide. Natural processes, such as volcanic eruptions, can also release underground carbon from rocks into the atmosphere.",fossil fuels are extracted and burned,the stored carbon enters the atmosphere as carbon dioxide .
15,"Nitrogen and sulfur oxides come mainly from motor vehicle exhaust and coal burning. If acid rain falls into lakes, it lowers the pH of the water and may kill aquatic organisms. If it falls on the ground, it may damage soil and soil organisms.",acid rain falls into lakes,it lowers the pH of the water and may kill aquatic organisms .
15,"If acid rain falls into lakes, it lowers the pH of the water and may kill aquatic organisms. If it falls on the ground, it may damage soil and soil organisms. If it falls on plants, it may make them sick or even kill them.",it falls on the ground,it may damage soil and soil organisms .
15,"If it falls on the ground, it may damage soil and soil organisms. If it falls on plants, it may make them sick or even kill them. Acid rain also damages stone buildings, bridges, and statues, like the one in Figure 25.1.",it falls on plants,it may make them sick or even kill them .
68," You may be able to avoid some of the health effects of outdoor air pollution by staying indoors on high-pollution days. However, some indoor air is just as polluted as outdoor air.",staying indoors on high-pollution days,You may be able to avoid some of the health effects of outdoor air pollution
71,The natural greenhouse effect of Earths atmosphere keeps the planets temperature within a range that can support life. The rise in greenhouse gases due to human actions is too much of a good thing. It increases the greenhouse effect and causes Earths average temperature to rise.,human actions,is too much of a good thing .
0,"Steps home owners can take to improve indoor air quality include: keeping the home clean so it is as free as possible from dust, mold, and pet dander. choosing indoor furniture, flooring, and paints that are low in toxic compounds such as VOCs (volatile organic compounds).",Steps home owners can take to improve indoor air quality include : keeping the home clean,"it is as free as possible from dust , mold , and pet dander ."
81,"so it is as free as possible from dust, mold, and pet dander. choosing indoor furniture, flooring, and paints that are low in toxic compounds such as VOCs (volatile organic compounds). making sure that fuel-burning appliances are working correctly and venting properly.","choosing indoor furniture , flooring , and paints",that are low in toxic compounds such as VOCs -LRB- volatile organic compounds -RRB- .
81,making sure that fuel-burning appliances are working correctly and venting properly. installing carbon monoxide alarms like the one in Figure 25.4 at every level of the home. ,installing carbon monoxide,alarms like the one in Figure 25.4 at every level of the home .
68,Such pollution can make water dangerous for drinking or other uses. You can learn more about the problem of sewage contaminating the water in U.S. coastal communities by watching this video:   MEDIA Click image to the left or use the URL below.,watching this video,You can learn more about the problem of sewage contaminating the water in U.S. coastal communities
81,"In poor nations, many people have no choice but to drink water from polluted sources. Drinking sewage-contaminated water causes waterborne diseases, due to pathogens such as protozoa, viruses, or bacteria. Most waterborne diseases cause diarrhea.",Drinking sewage-contaminated water,"causes waterborne diseases , due to pathogens such as protozoa , viruses , or bacteria ."
72,"In poor nations, many people have no choice but to drink water from polluted sources. Drinking sewage-contaminated water causes waterborne diseases, due to pathogens such as protozoa, viruses, or bacteria. Most waterborne diseases cause diarrhea.","pathogens such as protozoa , viruses , or bacteria","causes waterborne diseases ,"
15," If heated water is released into a body of water, it may cause thermal pollution. Thermal pollution is a reduction in the quality of water because of an increase in water temperature.",heated water is released into a body of water,it may cause thermal pollution .
29,"If heated water is released into a body of water, it may cause thermal pollution. Thermal pollution is a reduction in the quality of water because of an increase in water temperature. A common cause of thermal pollution is the use of water as a coolant by power plants and factories.",Thermal pollution is a reduction in the quality of water,. A common cause of thermal pollution is the use of water as a coolant by power plants and factories
0,"This water is heated and then returned to the natural environment at a higher temperature. Warm water cant hold as much dissolved oxygen as cool water, so an increase in the temperature of water decreases the amount of oxygen it contains. Fish and other organisms adapted to a particular temperature range and oxygen concentration",Warm water cant hold as much dissolved oxygen as cool water,an increase in the temperature of water decreases the amount of oxygen it contains .
77,"Eventually, the algae in an algal bloom die and decompose. Their decomposition uses up oxygen in the water so that the water becomes hypoxic (without oxygen). This has occurred in many bodies of fresh water and large areas of the ocean, creating dead zones.",Their decomposition uses up oxygen in the water,the water becomes hypoxic -LRB- without oxygen -RRB- .
5,"The burning of fossil fuels has increased the amount of carbon dioxide in the atmosphere. As a result, ocean water is also dissolving more carbon dioxide. When carbon dioxide dissolves in water, it forms a weak acid.",The burning of fossil fuels has increased the amount of carbon dioxide in the atmosphere,ocean water is also dissolving more carbon dioxide .
80,"One of the biggest causes is fertilizer in runoff. Runoff dissolves fertilizer as it flows over farm fields, lawns, and golf courses. It carries the dissolved fertilizer into bodies of water.","it flows over farm fields , lawns , and golf courses .",Runoff dissolves fertilizer
67,"Some of the items that can be recycled include: glass, paper, cardboard, plastic, aluminum, iron, steel, batteries, electronics, tires, and concrete. You can learn how some of these materials are recycled by watching this video:  . MEDIA Click image to the left or use the URL below.",watching this video,: .
44,"Encourage your family to recycle if they dont already. Even if you dont have curbside recycling where you live, there are likely to be recycling drop boxes or centers available for recycling many items. If you have recycling bins at school, be sure to use them.",recycling many items,"Even if you dont have curbside recycling where you live , there are likely to be recycling drop boxes or centers available"
15,"Encourage your family to recycle if they dont already. Even if you dont have curbside recycling where you live, there are likely to be recycling drop boxes or centers available for recycling many items. If you have recycling bins at school, be sure to use them.",you dont have curbside recycling where you live,there are likely to be recycling drop boxes or centers available
0,"Items can be reused for the same purpose or for a different purpose. Generally, it takes less energy to reuse an item than to recycle it, so choose this option over recycling when you can. Here are some specific tips for reusing natural resources: Consider mending or repairing worn or broken items rather than throwing them out and replacing them.","Generally , it takes less energy to reuse an item than to recycle it",choose this option over recycling when you can .
44,"Generally, it takes less energy to reuse an item than to recycle it, so choose this option over recycling when you can. Here are some specific tips for reusing natural resources: Consider mending or repairing worn or broken items rather than throwing them out and replacing them. Shop with reuse in mind.",reusing natural resources : Consider mending or repairing worn or broken items rather than throwing them out and replacing them,Here are some specific tips
81," Reducing the amount of natural resources you use is the best way to conserve resources. It takes energy to make new items, and even reusing or recycling items takes energy.",Reducing the amount of natural resources,you use is the best way to conserve resources .
15,"Follow these tips to reduce your use of natural resources: Walk, bike, or use public transit instead of driving. If you must drive, a fuel-efficient vehicle will reduce energy use. Plan ahead to avoid making extra trips.",you must drive,a fuel-efficient vehicle will reduce energy use .
80,"There are three basic ways that all of us can conserve natural resources. They are referred to as the three Rs: reduce, reuse, and recycle. ","the three Rs : reduce , reuse ,",They are referred to
68,"There will never be a shortage of wind. Biomass energy is energy provided by burning or decomposing organic matter. For example, when garbage decomposes in a landfill, it releases methane gas.",burning or decomposing organic matter,Biomass energy is energy provided
14,Nonrenewable energy sources accounted for 83 percent of the total energy used. Fossil fuels and the uranium needed for nuclear power will soon be used up if we continue to consume them at these rates. Using fossil fuels and nuclear energy creates other problems as well.,we continue to consume them at these rates .,Fossil fuels and the uranium needed for nuclear power will soon be used up
81,Fossil fuels and the uranium needed for nuclear power will soon be used up if we continue to consume them at these rates. Using fossil fuels and nuclear energy creates other problems as well. The burning of fossil fuels releases carbon dioxide into the atmosphere.,Using fossil fuels,and nuclear energy creates other problems as well .
76,"They are in no danger of being used up. Metals and some other minerals are considered renewable as well because they are not destroyed when they are used. Instead, they can be recycled and used over and over again.",they are not destroyed when they are used .,Metals and some other minerals are considered renewable as well
14,Uranium is a naturally occurring chemical element that cant be remade. It will run out sooner or later if nuclear energy continues to be used. Soil is a very important natural resource.,nuclear energy continues to be used .,It will run out sooner or later
0,"Theoretically, soil can be remade. However, it takes millions of years for soil to form, so from a human point of view, it is a nonrenewable resource. Soil can be misused and eroded (see Figure 25.9).","However , it takes millions of years for soil to form","from a human point of view , it is a nonrenewable resource ."
68,"Living things that make glucose are called autotrophs (""self feeders""). All other living things obtain glucose by eating autotrophs (or organisms that eat autotrophs). These living things are called heterotrophs (""other feeders"").",eating autotrophs -LRB- or organisms that eat autotrophs -RRB-,other living things obtain glucose
1,"In plants, most chloroplasts are found in the leaves. Therefore, all the raw materials needed for photosynthesis must be present in the leaves. These materials include light, water, and carbon dioxide.","In plants , most chloroplasts are found in the leaves",all the raw materials needed for photosynthesis must be present in the leaves .
90,The process in which glucose is made using energy in light is photosynthesis. This process requires carbon dioxide and water. It produces oxygen in addition to glucose.,carbon dioxide and water,The process in which glucose is made using energy in light is photosynthesis
29,"The mitochondrion is a membrane-enclosed organelle in the cytoplasm. Its sometimes called the ""powerhouse"" of the cell because of its role in cellular respiration. Figure 4.12 shows the parts of the mitochondrion involved in cellular respiration.",Its sometimes called the `` powerhouse '' of the cell,. Figure 4.12 shows the parts of the mitochondrion involved in cellular respiration
90,"Each ATP molecules forms when a phosphate is added to ADP, or adenosine diphosphate. This requires energy, which is stored in the ATP molecule. When cells need energy, a phosphate can be removed from ATP.","energy , which is stored in the ATP molecule","Each ATP molecules forms when a phosphate is added to ADP , or adenosine diphosphate"
0,"In fact, during this stage, as many as 34 molecules of ATP are produced. Electron transport requires oxygen, so this stage is also aerobic. The oxygen combines with hydrogen from the energy-storing molecules.",Electron transport requires oxygen,this stage is also aerobic .
76,This occurs when the cells are working very hard. They use fermentation because they cant get oxygen fast enough for aerobic respiration to supply them with all the energy they need. The muscle cells of the hurdlers in Figure 4.15 are using lactic acid fermentation by the time the athletes reach finish line.,they cant get oxygen fast enough for aerobic respiration to supply them with all the energy they need .,They use fermentation
16,"The big dog ate the red cat. If the second letter of big is deleted, then the sentence becomes: The bgd oga tet her edc at.",the second letter of big is deleted,the sentence becomes :
29,Some mutations occur when a mistake is made during DNA replication or transcription. Other mutations occur because of environmental factors. Anything in the environment that causes a mutation is known as a mutagen.,Other mutations occur,. Anything in the environment that causes a mutation is known as a mutagen
0,"An example is a mutation that helps bacteria resist antibiotics. Bacteria with the mutation increase in numbers, so the mutation becomes more common. Other mutations are harmful.",Bacteria with the mutation increase in numbers,the mutation becomes more common .
81,"3. Using this strand of DNA as a template, nucleotides are joined together to make a complementary strand of mRNA. The mRNA contains bases that are complementary to the bases in the DNA strand.",Using this strand of DNA as a template,nucleotides are joined together to make a complementary strand of mRNA .
44, How is the information for making proteins encoded in DNA? The answer is the genetic code.,making proteins,How is the information
115,The answer is the genetic code. The genetic code is based on the sequence of nitrogen bases in DNA. The four bases make up the letters of the code.,the sequence of nitrogen bases in DNA,The genetic code
0,"After an AUG start codon, the next three letters are read as the second codon. The next three letters after that are read as the third codon, and so on. You can see how this works in Figure 5.18.",The next three letters after that are read as the third codon,on . You can see how this works in Figure 5.18
0,Each codon codes for just one amino acid (or start or stop). This is necessary so the correct amino acid is always selected. Most amino acids are encoded by more than one codon.,This is necessary,the correct amino acid is always selected .
14,This is helpful. It reduces the risk of the wrong amino acid being selected if there is a mistake in the code. ,there is a mistake in the code .,It reduces the risk of the wrong amino acid being selected
67,"Darwin knew that people could breed plants and animals to have useful traits. By selecting which individuals were allowed to reproduce, they could change an organisms traits over several generations. Darwin called this type of change in organisms artificial selection.",selecting which individuals were allowed to reproduce,", they could change an organisms traits over several generations ."
68,"When populations get too big, disease and famine occur. These calamities control population size by killing off the weakest people. ",killing off the weakest people,These calamities control population size
86,"From Malthus, Darwin saw that populations could grow faster than their resources. This overproduction of offspring led to a struggle for existence, in Darwins words. In this struggle, only the fittest survive.",This overproduction of offspring,a struggle for existence
80,Evolution is a change in the inherited traits of organisms over time. Living things have changed as descendants diverged from common ancestors in the past. The other idea is that evolution occurs by natural selection.,descendants diverged from common ancestors,Living things have changed
5,"Natural selection is the process in which living things with beneficial traits produce more offspring. As a result, their traits increase in the population over time. ",Natural selection is the process in which living things with beneficial traits produce more offspring,their traits increase in the population over time .
44,"For example, finch number 1 in Figure 7.4 used its large, strong beak to crack open and eat big, tough seeds. Finch number 4 had a long, pointed beak that was ideal for eating insects. This seemed reasonable, but how had it come about?",eating insects,"Finch number 4 had a long , pointed beak that was ideal"
0,"This included plants, animals, rocks, and fossils. Darwin loved nature, so the job was ideal for him. During the long voyage, he made many observations that helped him form his theory of evolution.",Darwin loved nature,the job was ideal for him .
48,Each island had tortoises with a different shell shape. The local people even could tell which island a tortoise came from based on the shape of its shell. Darwin wondered how each island came to have its own type of tortoise.,the shape of its shell,The local people even could tell which island a tortoise came from
15,"In a distant ancestor, it was needed to digest food. If your appendix becomes infected, a surgeon can remove it. You wont miss it because it no longer has any purpose in the human body.",your appendix becomes infected,a surgeon can remove it .
76,"If your appendix becomes infected, a surgeon can remove it. You wont miss it because it no longer has any purpose in the human body. ",it no longer has any purpose in the human body .,You wont miss it
44, Fossils are useful for reconstructing the past only if they can be dated. Scientists need to determine when the organisms lived who left behind the fossils.,reconstructing the past,Fossils are useful
115,This gives the fossil an approximate age in years. Absolute dating is often based on the amount of carbon-14 or other radioactive element that remains in a fossil. You can learn how carbon-14 dating works by watching this short video: Relative dating determines which of two fossils is older or younger than the other but not their age in years.,the amount of carbon-14 or other radioactive element that remains in a fossil,Absolute dating
67,Absolute dating is often based on the amount of carbon-14 or other radioactive element that remains in a fossil. You can learn how carbon-14 dating works by watching this short video: Relative dating determines which of two fossils is older or younger than the other but not their age in years. Relative dating is based on the positions of fossils in rock layers.,watching this short video,: Relative dating determines which of two fossils is older or younger than the other but not their age in years .
115,"You can learn how carbon-14 dating works by watching this short video: Relative dating determines which of two fossils is older or younger than the other but not their age in years. Relative dating is based on the positions of fossils in rock layers. Lower rock layers were laid down earlier, so they are assumed to contain older fossils.",the positions of fossils in rock layers,Relative dating
0,"Relative dating is based on the positions of fossils in rock layers. Lower rock layers were laid down earlier, so they are assumed to contain older fossils. This is illustrated in Figure 7.9.",Lower rock layers were laid down earlier,they are assumed to contain older fossils .
14,"The remains literally turn to stone. Remains are more likely to form fossils if they are covered quickly by sediments. Once in a while, remains are preserved almost unchanged.",they are covered quickly by sediments .,Remains are more likely to form fossils
68," Scientists have learned a lot about evolution by comparing living organisms. They have compared body parts, embryos, and molecules such as DNA and proteins.",comparing living organisms,Scientists have learned a lot about evolution
0,"It became the ancestor of modern whales. In doing so, it lost its legs and became adapted to life in the water. In Figure 7.10 you can see an artists rendition of such a whale ancestor.",became the ancestor of modern whales . In doing,it lost its legs and became adapted to life in the water .
48,"It had legs and could walk on land, but it was also a good swimmer. Watch this short video to learn more about the amazing story of whale evolution based on the fossils: ",the fossils,Watch this short video to learn more about the amazing story of whale evolution
15,"Scientists can compare the DNA or proteins of different species. If the molecules are similar, this shows that the species are related. The more similar the molecules are, the closer the relationship is likely to be.",the molecules are similar,this shows that the species are related .
78,"Over time, the mutations add up. The longer the amount of time since species diverged, the more differences there will be in their DNA or proteins. Table 7.1 compares the DNA of four different organisms with modern human DNA.",species diverged,the more differences there will be in their DNA or proteins .
82,"They represent very early life stages of a chicken, turtle, pig, and human being. The embryos look so similar that its hard to tell them apart. Such similarities provide evidence that all four types of animals are related.",The embryos look so similar,its hard to tell them apart .
1,"They could eat seeds of all sizes. Therefore, there was more food available to them. Many of the small-beaked birds died in the drought.",They could eat seeds of all sizes,there was more food available to them .
76,Sometimes two species evolve the same traits. It happens because they live in similar habitats. This is called convergent evolution.,they live in similar habitats .,It happens
0,What must happen for a new species to arise? Some members of an existing species must change so they can no produce fertile offspring with the rest of the species. Speciation often occurs when some members of a species break off from the rest.,Some members of an existing species must change,they can no produce fertile offspring with the rest of the species .
46,"Alleles, in turn, are passed to gametes and then to offspring. Evolution occurs because of changes in alleles over time. How long a time?",changes in alleles over time,Evolution occurs
29,The Grants observed evolution at this scale in populations of Darwins finches. Beak size in finch populations changed in just two years because of a serious drought. Evolution that occurs over a long period of time is called macroevolution.,Beak size in finch populations changed in just two years,. Evolution that occurs over a long period of time is called macroevolution
14,Darwin thought that evolution occurs very slowly. This is likely if conditions are stable. But what if conditions are changing rapidly?,conditions are stable .,This is likely
80,"For each gene, the gene pool has a total of 200 alleles (2 per individual x 100 individuals). The gene in question exists as two different alleles, A and a. The number of A alleles in the gene pool is 140.","two different alleles , A and a. The number of A alleles in the gene pool is 140",The gene in question exists
0,"This is how all new alleles first arise. Its the ultimate source of new genetic variation, so it is essential for evolution. However, for any given gene, the chance of a mutation occurring is very small.",Its the ultimate source of new genetic variation,it is essential for evolution .
1,"However, for any given gene, the chance of a mutation occurring is very small. Therefore, mutation alone does not have much effect on allele frequencies. Gene flow is the movement of genes into or out of a gene pool It occurs when individuals migrate into or out of the population.","However , for any given gene , the chance of a mutation occurring is very small",mutation alone does not have much effect on allele frequencies .
76,"The smaller the population is, the more allele frequencies may drift. Natural selection is a change in allele frequencies that occurs because some genotypes are more fit than others. Genotypes with greater fitness produce more offspring and pass more copies of their alleles to the next generation.",some genotypes are more fit than others .,Natural selection is a change in allele frequencies that occurs
86,This is the force of evolution that Darwin identified. Figure 23.12 shows how Darwin thought natural selection led to variation in finches on the Galpagos Islands. ,natural selection,variation in finches on the Galpagos Islands
0,They reached as far south as Chicago and New York City. Sea levels fell because so much water was frozen in glaciers. This exposed land bridges between continents.,Sea levels fell because,much water was frozen in glaciers .
68,"The land bridges allowed land animals to move to new areas. Some mammals adapted to the cold by evolving very large size and thick fur. An example is the woolly mammoth, shown in Figure 7.25.",evolving very large size,Some mammals adapted to the cold
135,"After that, we were eyewitnesses to the story of life. As a result, the recent past is less of a mystery than the billions of years before it. ","that , we were eyewitnesses to the story of life . As",less of a mystery than the billions of years before it
56,"Figure 7.20 shows one theory about the origin of organelles. According to this theory, a large cell engulfed small cells. The small cells took on special roles that helped the large cell function.",this theory,a large cell engulfed small cells .
80,"Gases from volcanoes formed an atmosphere, although it contained only a trace of oxygen. As the planet continued to cool, clouds formed and rain fell. Rainwater helped form oceans.","the planet continued to cool , clouds formed and rain","Gases from volcanoes formed an atmosphere , although it contained only a trace of oxygen ."
115,"It divides Earths history into eons, eras, and periods. These divisions are based on major changes in geology, climate, and the evolution of life. The geologic time scale organizes Earths history on the basis of important events instead of time alone.","major changes in geology , climate , and the evolution of life",These divisions
5,"The Precambrian mass extinction opened up many niches for new organisms to fill. As a result, the Cambrian Period began with an explosion of new kinds of living things. For example, many types of simple animals called sponges evolved.",The Precambrian mass extinction opened up many niches for new organisms to fill,the Cambrian Period began with an explosion of new kinds of living things .
5,"At this time, temperatures were extreme and the climate became very dry. As a result, plants and animals evolved ways to cope with dryness. For example, reptiles evolved leathery skin.",", temperatures were extreme and the climate became very dry",plants and animals evolved ways to cope with dryness .
140,Its not clear why it happened. One possible reason is that a very large meteorite struck Earth. Another possibility is the eruption of enormous volcanoes.,a very large meteorite struck Earth .,Its not clear why it happened
68," Bacteria in food or water usually can be killed by heating it to a high temperature. Generally, this temperature is at least 71 C (160 F).",heating it to a high temperature,Bacteria in food or water usually can be killed
15,"These drugs kill bacteria and may quickly cure the disease. If youve ever had strep throat, you were probably prescribed an antibiotic to treat it. Some bacteria have developed antibiotic resistance.",youve ever had strep,you were probably prescribed an antibiotic to treat it .
0,"Do you eat any of the fermented foods pictured in Figure 8.12? If so, you are eating bacteria and their wastes. Yum!",you eat any of the fermented foods pictured in Figure 8.12 ? If,you are eating bacteria and their wastes .
80,"This makes them easy to identify. Some stain purple and some stain red, as you can see in Figure 8.11. The two types differ in their outer layers.",you can see in Figure 8.11 .,This makes them easy to identify . Some stain purple and some stain red
68,"Bacteria come in several different shapes. The different shapes can be seen by examining bacteria under a light microscope. Therefore, its relatively easy to classify them by shape.",examining bacteria under a light microscope,The different shapes can be seen
1,"The different shapes can be seen by examining bacteria under a light microscope. Therefore, its relatively easy to classify them by shape. There are three types of bacteria based on shape: bacilli (bacillus, singular), or rod shaped.",The different shapes can be seen by examining bacteria under a light microscope,its relatively easy to classify them by shape .
48,"Therefore, its relatively easy to classify them by shape. There are three types of bacteria based on shape: bacilli (bacillus, singular), or rod shaped. cocci (coccus, singular), or sphere shaped.",shape,There are three types of bacteria
15,"Its estimated to be about 5 million trillion trillion. If you write that number in digits, it has 30 zeroes! ",you write that number in digits,it has 30 zeroes !
5,"Their immune system also doesnt work as well as it used to. As a result, they have a harder time fighting diseases like the flu. The risk of developing diseases such as heart disease and cancer continues to rise.",Their immune system also doesnt work as well as it used to,they have a harder time fighting diseases like the flu .
80,"In arthritis, joints wear out and become stiff and painful. As many as one in four late adults may develop Alzheimers disease. In this disease, brain changes cause mental abilities to decrease.",many as one in four late adults may develop Alzheimers disease .,"In arthritis , joints wear out and become stiff and painful ."
0,Then adopt a healthy lifestyle now and follow it for life. Doing so will increase your chances of staying healthy and active to an old age. Exercising the body and brain help prevent the physical and mental effects of aging.,adopt a healthy lifestyle now and follow it for life . Doing,will increase your chances of staying healthy and active to an old age .
0,That depends. Most teens become physically mature by the age of 16 or so. But they are not adults in a legal sense until they are older.,Most teens become physically mature by the age of 16 or,. But they are not adults in a legal sense until they are older
15,"For example, in the U.S., you must be 18 to vote. Once adulthood begins, it can be divided into three stages: (1) early, (2) middle, and (3) late adulthood. ",adulthood begins,"it can be divided into three stages : -LRB- 1 -RRB- early , -LRB- 2 -RRB- middle , and -LRB- 3 -RRB- late"
48,The oceans are the largest of all the ecosystems. They can be divided into four separate zones based on the amount of sunlight. Ocean zones are also divided based on their depth and their distance from land.,the amount of sunlight,They can be divided into four separate zones
48,They can be divided into four separate zones based on the amount of sunlight. Ocean zones are also divided based on their depth and their distance from land. Each zone has a great diversity of species.,their depth and their distance from land,Ocean zones are also divided
76,"Recall that terrestrial biomes are defined by their climate. Thats because plants and animals are adapted for certain amounts of temperature and moisture. However, would aquatic biomes be classified in the same way?",plants and animals are adapted for certain amounts of temperature and moisture .,biomes are defined by their climate . Thats
48,"No, that wouldnt make much senseall parts of an aquatic environment have plenty of water. Aquatic biomes can be generally classified based on the amount of salt in the water. Freshwater biomes have less than 1% salt and are typical of ponds and lakes, streams and rivers, and wetlands.",the amount of salt in the water,Aquatic biomes can be generally classified
100,Water near the surface of lakes and the ocean usually has more dissolved oxygen than does deeper water. This is because surface water absorbs oxygen from the air above it. 2.,surface water absorbs oxygen from the air above it .,Water near the surface of lakes and the ocean usually has more dissolved oxygen than does deeper water
100,"Water near shore generally has more dissolved nutrients than water farther from shore. This is because most nutrients enter the water from land. They are carried by runoff, streams, and rivers that empty into a body of water.",most nutrients enter the water from land .,Water near shore generally has more dissolved nutrients than water farther from shore
48," In large bodies of water, such as the ocean and lakes, the water can be divided into zones based on the amount of sunlight it receives: 1. The photic zone extends to a maximum depth of 200 meters (656 feet) below the surface of the water.",the amount of sunlight it receives : 1,"In large bodies of water , such as the ocean and lakes , the water can be divided into zones"
5,"This is where too little sunlight penetrates for photosyn- thesis to occur. As a result, producers must make ""food"" by chemosynthesis, or the food must drift down from the water above. ",This is where too little sunlight penetrates for photosyn - thesis to occur,"producers must make `` food '' by chemosynthesis , or the food must drift down from the water above ."
86,Many people are also allergic to poison ivy ( Figure 1.2). Skin contact with poison ivy leads to an itchy rash in people who are allergic to the plant. Ragweed is a common roadside weed found throughout the United States.,Skin contact with poison ivy,an itchy rash in people who are allergic to the plant
0,"Sometimes, allergies cause severe symptoms, a condition known as anaphylaxis. For example, they may cause the throat to swell so it is hard to breathe. Severe allergies may be life threatening.","For example , they may cause the throat to swell",it is hard to breathe .
80,"The bacteria in your digestive system are from anywhere between 300 and 1000 species. As these bacteria are helpful, your body does not attack them. They actually appear to the bodys immune system as cells of the digestive system, not foreign invaders.","these bacteria are helpful , your body does not attack them .",The bacteria in your digestive system are from anywhere between 300 and 1000 species .
80,"This disguises the bacteria and protects them from the immune system. As the bacteria that live in the human gut are beneficial to us, and as the bacteria enjoy a safe environment to live, the relationship that we have with these tiny organisms is described as mutualism, a type of symbiotic relationship. Lastly, keep in mind the small size of bacteria.","the bacteria that live in the human gut are beneficial to us , and as the bacteria",This disguises the bacteria and protects them from the immune system .
0,"Meanwhile, the root provides nutrients to the bacteria. In this relationship, both the bacteria and the plant benefit, so it is known as a mutualism. Other mutualistic bacteria include gut microbes.",", both the bacteria and the plant benefit",it is known as a mutualism .
80,"They are usually beneficial bacteria, needed by the host organism. These microbes obviously dont kill their host, as that would kill the bacteria as well. ",that would kill the bacteria as well .,These microbes obviously dont kill their host
80," Bacteria known as decomposers break down wastes and dead organisms into smaller molecules. These bacteria use the organic substrates they break down to get their energy, carbon, and nutrients they need for survival.",decomposers break down wastes and dead organisms into smaller molecules .,Bacteria known
68,"Bacteria can also be chemotrophs. Chemosynthetic bacteria, or chemotrophs, obtain energy by breaking down chemical compounds in their environment. An example of one of these chemicals broken down by bacteria is nitrogen-containing ammonia.",breaking down chemical compounds in their environment,"Chemosynthetic bacteria , or chemotrophs , obtain energy"
76,"An example of one of these chemicals broken down by bacteria is nitrogen-containing ammonia. These bacteria are important because they help cycle nitrogen through the environ- ment for other living things to use. Nitrogen cannot be made by living organisms, so it must be continually recycled.",they help cycle nitrogen through the environ -,These bacteria are important
0,"These bacteria are important because they help cycle nitrogen through the environ- ment for other living things to use. Nitrogen cannot be made by living organisms, so it must be continually recycled. Organisms need nitrogen to make organic compounds, such as DNA.",Nitrogen can not be made by living organisms,it must be continually recycled .
72,"An example of photosynthetic bacteria is cyanobacteria, as seen in the opening image. These bacteria are sometimes called blue-green algae, although they are not algae, due to their numerous chlorophyll molecules. ",their numerous chlorophyll molecules,"These bacteria are sometimes called blue-green algae , although they are not algae ,"
0,"This acid kills most pathogens that enter the stomach in food or water. Urine is also acidic, so few pathogens can grow in it. This is what the cilia lining the lungs look like when they are magnified.",Urine is also acidic,few pathogens can grow in it .
