,context,question,answer,start_idx,end_idx
1759,"Armenians constitute the main population of Armenia and the de facto independent Nagorno-Karabakh Republic. There is a wide-ranging diaspora of around 5 million people of full or partial Armenian ancestry living outside of modern Armenia. The largest Armenian populations today exist in Russia, the United States, France, Georgia, Iran, Ukraine, Lebanon, and Syria. With the exceptions of Iran and the former Soviet states, the present-day Armenian diaspora was formed mainly as a result of the Armenian Genocide.",Why did many Armenians leave Armenia?,the Armenian Genocide,491,512
868,"Mean speeds vary greatly, but is typically around 1 m (3 ft) per day. There may be no motion in stagnant areas; for example, in parts of Alaska, trees can establish themselves on surface sediment deposits. In other cases, glaciers can move as fast as 20–30 m (70–100 ft) per day, such as in Greenland's Jakobshavn Isbræ (Greenlandic: Sermeq Kujalleq). Velocity increases with increasing slope, increasing thickness, increasing snowfall, increasing longitudinal confinement, increasing basal temperature, increasing meltwater production and reduced bed hardness.",Why are some glaciers stagnant in Alaska?,trees can establish themselves on surface sediment deposits,145,204
731,"Between 1892, when Harvard and Yale met in one of the first intercollegiate debates, and 1909, the year of the first Triangular Debate of Harvard, Yale, and Princeton, the rhetoric, symbolism, and metaphors used in athletics were used to frame these early debates. Debates were covered on front pages of college newspapers and emphasized in yearbooks, and team members even received the equivalent of athletic letters for their jackets. There even were rallies sending off the debating teams to matches. Yet, the debates never attained the broad appeal that athletics enjoyed. One reason may be that debates do not have a clear winner, as is the case in sports, and that scoring is subjective. In addition, with late 19th-century concerns about the impact of modern life on the human body, athletics offered hope that neither the individual nor the society was coming apart.",Why do debates not have a distinct winner?,scoring is subjective,671,692
539,"Widowed in 1861, the grief-stricken Queen withdrew from public life and left Buckingham Palace to live at Windsor Castle, Balmoral Castle and Osborne House. For many years the palace was seldom used, even neglected. In 1864, a note was found pinned to the fence of Buckingham Palace, saying: ""These commanding premises to be let or sold, in consequence of the late occupant's declining business."" Eventually, public opinion forced the Queen to return to London, though even then she preferred to live elsewhere whenever possible. Court functions were still held at Windsor Castle, presided over by the sombre Queen habitually dressed in mourning black, while Buckingham Palace remained shuttered for most of the year.",What happened to Buckingham after Queen Victoria left?,"palace was seldom used, even neglected",176,214
697,"Burmese resentment was strong and was vented in violent riots that paralysed Yangon (Rangoon) on occasion all the way until the 1930s. Some of the discontent was caused by a disrespect for Burmese culture and traditions such as the British refusal to remove shoes when they entered pagodas. Buddhist monks became the vanguards of the independence movement. U Wisara, an activist monk, died in prison after a 166-day hunger strike to protest against a rule that forbade him from wearing his Buddhist robes while imprisoned.",Why was U Wisara involved in a resistance movement of such extremes ?,to protest against a rule that forbade him from wearing his Buddhist robes while imprisoned.,430,522
1803,"After the bailout was announced, the Portuguese government headed by Pedro Passos Coelho managed to implement measures with the intention of improve the State's financial situation, including tax hikes, a freeze of civil service-related lower-wages and cuts of higher-wages by 14.3%, on top of the government's spending cuts. The Portuguese government also agreed to eliminate its golden share in Portugal Telecom which gave it veto power over vital decisions. In 2012, all public servants had already seen an average wage cut of 20% relative to their 2010 baseline, with cuts reaching 25% for those earning more than 1,500 euro per month.",What was the purpose of the Portuguese bailout?,improve the State's financial situation,141,180
1649,"One of the first recorded instances of translation in the West was the rendering of the Old Testament into Greek in the 3rd century BCE. The translation is known as the ""Septuagint"", a name that refers to the seventy translators (seventy-two, in some versions) who were commissioned to translate the Bible at Alexandria, Egypt. Each translator worked in solitary confinement in his own cell, and according to legend all seventy versions proved identical. The Septuagint became the source text for later translations into many languages, including Latin, Coptic, Armenian and Georgian.",Why is the translation of the Old Testament into Greek known as the Septuagint?,seventy translators,209,228
1145,"Following the Battle of Hakusukinoe against Tang China and Silla in 663 AD that led to a Japanese retreat from Korean affairs, Japan underwent widespread reform. One of the most important was that of the Taika Reform, issued by Prince Naka no Ōe (Emperor Tenji) in 646 AD. This edict allowed the Japanese aristocracy to adopt the Tang dynasty political structure, bureaucracy, culture, religion, and philosophy. As part of the Taihō Code, of 702 AD, and the later Yōrō Code, the population was required to report regularly for census, a precursor for national conscription. With an understanding of how the population was distributed, Emperor Mommu introduced a law whereby 1 in 3–4 adult males was drafted into the national military. These soldiers were required to supply their own weapons, and in return were exempted from duties and taxes. This was one of the first attempts by the Imperial government to form an organized army modeled after the Chinese system. It was called ""Gundan-Sei"" (軍団制) by later historians and is believed to have been short-lived.[citation needed]",What was the effect of the Battle of Hakusukinoe?,a Japanese retreat from Korean affairs,87,125
1031,"International friendlies give team managers the opportunity to experiment with team selection and tactics before the tournament proper, and also allow them to assess the abilities of players they may potentially select for the tournament squad. Players can be booked in international friendlies, and can be suspended from future international matches based on red cards or accumulated yellows in a specified period. Caps and goals scored also count towards a player's career records. In 2004, FIFA ruled that substitutions by a team be limited to six per match in international friendlies, in response to criticism that such matches were becoming increasingly farcical with managers making as many as 11 substitutions per match.",What can happen to players who get red or yellow cards in friendlies?,suspended from future international matches,307,350
372,"John (24 December 1166 – 19 October 1216), also known as John Lackland (Norman French: Johan sanz Terre), was King of England from 6 April 1199 until his death in 1216. John lost the duchy of Normandy to King Philip II of France, which resulted in the collapse of most of the Angevin Empire and contributed to the subsequent growth in power of the Capetian dynasty during the 13th century. The baronial revolt at the end of John's reign led to the sealing of the Magna Carta, a document sometimes considered to be an early step in the evolution of the constitution of the United Kingdom.",What led to the sealing of the Magna Carta?,baronial revolt,394,409
667,"The light energy captured by chlorophyll a is initially in the form of electrons (and later a proton gradient) that's used to make molecules of ATP and NADPH which temporarily store and transport energy. Their energy is used in the light-independent reactions of the Calvin cycle by the enzyme rubisco to produce molecules of the 3-carbon sugar glyceraldehyde 3-phosphate (G3P). Glyceraldehyde 3-phosphate is the first product of photosynthesis and the raw material from which glucose and almost all other organic molecules of biological origin are synthesized. Some of the glucose is converted to starch which is stored in the chloroplast. Starch is the characteristic energy store of most land plants and algae, while inulin, a polymer of fructose is used for the same purpose in the sunflower family Asteraceae. Some of the glucose is converted to sucrose (common table sugar) for export to the rest of the plant.",Why is table sugar produced?,for export to the rest of the plant,880,915
1427,"To continue evacuating a chamber indefinitely without requiring infinite growth, a compartment of the vacuum can be repeatedly closed off, exhausted, and expanded again. This is the principle behind positive displacement pumps, like the manual water pump for example. Inside the pump, a mechanism expands a small sealed cavity to create a vacuum. Because of the pressure differential, some fluid from the chamber (or the well, in our example) is pushed into the pump's small cavity. The pump's cavity is then sealed from the chamber, opened to the atmosphere, and squeezed back to a minute size.",Why is fluid in a manual pump pushed into the pumps cavity when a small sealed cavity is expanded?,Because of the pressure differential,347,383
357,"During the dictatorships of Miguel Primo de Rivera (1923–1930) and especially of Francisco Franco (1939–1975), all regional cultures were suppressed. All of the languages spoken in Spanish territory, except Spanish (Castilian) itself, were officially banned. Symbolising the Catalan people's desire for freedom, Barça became 'More than a club' (Més que un club) for the Catalans. According to Manuel Vázquez Montalbán, the best way for the Catalans to demonstrate their identity was by joining Barça. It was less risky than joining a clandestine anti-Franco movement, and allowed them to express their dissidence. During Franco's regime, however, the blaugrana team was granted profit due to its good relationship with the dictator at management level, even giving two awards to him.",What caused the suppression of regional cultures?,dictatorships,11,24
967,"Some of Elvis Presley's early singles on Sun Records might have sold more copies on 78 than on 45. This is because the majority of those sales in 1954–55 were to the ""hillbilly"" market in the South and Southwestern United States, where replacing the family 78 rpm player with a new 45 rpm player was a luxury few could afford at the time. By the end of 1957, RCA Victor announced that 78s accounted for less than 10% of Presley's singles sales, essentially announcing the death throes of the 78 rpm format. The last Presley single released on 78 in the United States was RCA Victor 20-7410, I Got Stung/One Night (1958), while the last 78 in the UK was RCA 1194, A Mess Of Blues/Girl Of My Best Friend (1960).",Why did Elvis sales of 78s perform so well in the Southern States?,45 rpm player was a luxury few could afford at the time,282,337
783,"Literature allows readers to access intimate emotional aspects of a person’s character that would not be obvious otherwise. It benefits the psychological development and understanding of the reader. For example, it allows a person to access emotional states from which the person has distanced himself or herself. An entry written by D. Mitchell featured in ‘‘The English Journal’’ explains how the author utilized young adult literature in order to re-experience the emotional psychology she experienced as a child which she describes as a state of “wonder”.",Why did this author embrace young adult literature as a grownup?,to re-experience the emotional psychology she experienced as a child,447,515
735,"Yale has a complicated relationship with its home city; for example, thousands of students volunteer every year in a myriad of community organizations, but city officials, who decry Yale's exemption from local property taxes, have long pressed the university to do more to help. Under President Levin, Yale has financially supported many of New Haven's efforts to reinvigorate the city. Evidence suggests that the town and gown relationships are mutually beneficial. Still, the economic power of the university increased dramatically with its financial success amid a decline in the local economy.",Why do New Haven city officials dislike Yale?,exemption from local property taxes,189,224
1035,"The NBA's New Orleans Hornets became the first major league sports franchise based in Oklahoma when the team was forced to relocate to Oklahoma City's Ford Center, now known as Chesapeake Energy Arena, for two seasons following Hurricane Katrina in 2005. In July 2008, the Seattle SuperSonics, a franchise owned by the Professional Basketball Club LLC, a group of Oklahoma City businessmen led by Clayton Bennett, relocated to Oklahoma City and announced that play would begin at the Ford Center as the Oklahoma City Thunder for the 2008–09 season, becoming the state's first permanent major league franchise.",What caused the temporary NBA team to relocate to Oklahoma?,Hurricane Katrina,228,245
970,"The term ""high fidelity"" was coined in the 1920s by some manufacturers of radio receivers and phonographs to differentiate their better-sounding products claimed as providing ""perfect"" sound reproduction. The term began to be used by some audio engineers and consumers through the 1930s and 1940s. After 1949 a variety of improvements in recording and playback technologies, especially stereo recordings, which became widely available in 1958, gave a boost to the ""hi-fi"" classification of products, leading to sales of individual components for the home such as amplifiers, loudspeakers, phonographs, and tape players. High Fidelity and Audio were two magazines that hi-fi consumers and engineers could read for reviews of playback equipment and recordings.",What happened in 1958 that changed the home music scene?,variety of improvements in recording and playback technologies,311,373
1614,"Whitehead pointed to the limitations of language as one of the main culprits in maintaining a materialistic way of thinking, and acknowledged that it may be difficult to ever wholly move past such ideas in everyday speech. After all, each moment of each person's life can hardly be given a different proper name, and it is easy and convenient to think of people and objects as remaining fundamentally the same things, rather than constantly keeping in mind that each thing is a different thing from what it was a moment ago. Yet the limitations of everyday living and everyday speech should not prevent people from realizing that ""material substances"" or ""essences"" are a convenient generalized description of a continuum of particular, concrete processes. No one questions that a ten-year-old person is quite different by the time he or she turns thirty years old, and in many ways is not the same person at all; Whitehead points out that it is not philosophically or ontologically sound to think that a person is the same from one second to the next.",Why did Whitehead think people continued to subscribe to materialistic thinking?,it is easy and convenient to think of people and objects as remaining fundamentally the same things,317,416
1505,"Tucson was probably first visited by Paleo-Indians, known to have been in southern Arizona about 12,000 years ago. Recent archaeological excavations near the Santa Cruz River have located a village site dating from 2100 BC.[citation needed] The floodplain of the Santa Cruz River was extensively farmed during the Early Agricultural period, circa 1200 BC to AD 150. These people constructed irrigation canals and grew corn, beans, and other crops while gathering wild plants and hunting. The Early Ceramic period occupation of Tucson saw the first extensive use of pottery vessels for cooking and storage. The groups designated as the Hohokam lived in the area from AD 600 to 1450 and are known for their vast irrigation canal systems and their red-on-brown pottery.[citation needed]",What happened in the Early Ceramic period?,the first extensive use of pottery vessels for cooking and storage,538,604
1425,"Manifold vacuum can be used to drive accessories on automobiles. The best-known application is the vacuum servo, used to provide power assistance for the brakes. Obsolete applications include vacuum-driven windscreen wipers and Autovac fuel pumps. Some aircraft instruments (Attitude Indicator (AI) and the Heading Indicator (HI)) are typically vacuum-powered, as protection against loss of all (electrically powered) instruments, since early aircraft often did not have electrical systems, and since there are two readily available sources of vacuum on a moving aircraft—the engine and an external venturi. Vacuum induction melting uses electromagnetic induction within a vacuum.",Why are the Attitude indicator and heading indicator vacuum-powered?,"protection against loss of all (electrically powered) instruments,",364,430
1392,"Although not specifically prepared to conduct independent strategic air operations against an opponent, the Luftwaffe was expected to do so over Britain. From July until September 1940 the Luftwaffe attacked RAF Fighter Command to gain air superiority as a prelude to invasion. This involved the bombing of English Channel convoys, ports, and RAF airfields and supporting industries. Destroying RAF Fighter Command would allow the Germans to gain control of the skies over the invasion area. It was supposed that Bomber Command, RAF Coastal Command and the Royal Navy could not operate under conditions of German air superiority.",Why did the Luftwaffe bomb the RAF Fighter Command?,to gain air superiority,228,251
1782,"This prevented Eisenhower from openly condemning Joseph McCarthy's highly criticized methods against communism. To facilitate relations with Congress, Eisenhower decided to ignore McCarthy's controversies and thereby deprive them of more energy from involvement of the White House. This position drew criticism from a number of corners. In late 1953 McCarthy declared on national television that the employment of communists within the government was a menace and would be a pivotal issue in the 1954 Senate elections. Eisenhower was urged to respond directly and specify the various measures he had taken to purge the government of communists. Nevertheless, he refused.",Why did Eisenhower ignore McCarthy?,facilitate relations with Congress,115,149
1606,"In 2003, additional UN sanctions were placed on Liberian timber exports, which had risen from US$5 million in 1997 to over US$100 million in 2002 and were believed to be funding rebels in Sierra Leone. These sanctions were lifted in 2006. Due in large part to foreign aid and investment inflow following the end of the war, Liberia maintains a large account deficit, which peaked at nearly 60% in 2008. Liberia gained observer status with the World Trade Organization in 2010 and is in the process of acquiring full member status.",Why were sanctions place on Liberian timber exports?,were believed to be funding rebels in Sierra Leone.,150,201
885,"After the American Revolutionary War broke out in 1776, the Connecticut colonial government ordered the construction of Black Rock Fort (to be built on top of an older 17th-century fort) to protect the port of New Haven. In 1779, during the Battle of New Haven, British soldiers captured Black Rock Fort and burned the barracks to the ground. The fort was reconstructed in 1807 by the federal government (on orders from the Thomas Jefferson administration), and rechristened Fort Nathan Hale, after the Revolutionary War hero who had lived in New Haven. The cannons of Fort Nathan Hale were successful in defying British war ships during the War of 1812. In 1863, during the Civil War, a second Fort Hale was built next to the original, complete with bomb-resistant bunkers and a moat, to defend the city should a Southern raid against New Haven be launched. The United States Congress deeded the site to the state in 1921, and all three versions of the fort have been restored. The site is now listed on the National Register of Historic Places and receives thousands of visitors each year.",Why exactly was the fort rename to Fort Nathan Hale?,Revolutionary War hero,503,525
79,"In early times, the privilege of papal election was not reserved to the cardinals, and for centuries the person elected was customarily a Roman priest and never a bishop from elsewhere. To preserve apostolic succession the rite of consecrating him a bishop had to be performed by someone who was already a bishop. The rule remains that, if the person elected Pope is not yet a bishop, he is consecrated by the Dean of the College of Cardinals, the Cardinal Bishop of Ostia.",Why did the ceromony of consecrating a bishop have to be preformed by someone who was already a bishop?,To preserve apostolic succession,186,218
1172,"Renewable energy is also the most economic solution for new grid-connected capacity in areas with good resources. As the cost of renewable power falls, the scope of economically viable applications increases. Renewable technologies are now often the most economic solution for new generating capacity. Where ""oil-fired generation is the predominant power generation source (e.g. on islands, off-grid and in some countries) a lower-cost renewable solution almost always exists today"". As of 2012, renewable power generation technologies accounted for around half of all new power generation capacity additions globally. In 2011, additions included 41 gigawatt (GW) of new wind power capacity, 30 GW of PV, 25 GW of hydro-electricity, 6 GW of biomass, 0.5 GW of CSP, and 0.1 GW of geothermal power.",What happens as the scope of economically viable applications increases?,the cost of renewable power falls,117,150
814,"Bermuda was colonised by the English as an extension of Virginia and has long had close ties with the US Atlantic Seaboard and Canadian Maritimes as well as the UK. It had a history of African slavery, although Britain abolished it decades before the US. Since the 20th century, there has been considerable immigration to Bermuda from the West Indies, as well as continued immigration from Portuguese Atlantic islands. Unlike immigrants from British colonies in the West Indies, the latter immigrants have had greater difficulty in becoming permanent residents as they lacked British citizenship, mostly spoke no English, and required renewal of work permits to remain beyond an initial period. From the 1950s onwards, Bermuda relaxed its immigration laws, allowing increased immigration from Britain and Canada. Some Black politicians accused the government of using this device to counter the West Indian immigration of previous decades.",Why did the English originally colonize Bermuda?,an extension of Virginia,40,64
1541,"There has been an increasing gulf between the Premier League and the Football League. Since its split with the Football League, many established clubs in the Premier League have managed to distance themselves from their counterparts in lower leagues. Owing in large part to the disparity in revenue from television rights between the leagues, many newly promoted teams have found it difficult to avoid relegation in their first season in the Premier League. In every season except 2001–02 and 2011–12, at least one Premier League newcomer has been relegated back to the Football League. In 1997–98 all three promoted clubs were relegated at the end of the season.",Why has their been distance between the Premier League and the Football League?,"in large part to the disparity in revenue from television rights between the leagues,",257,342
671,"A considerable amount of new knowledge about plant function comes from studies of the molecular genetics of model plants such as the Thale cress, Arabidopsis thaliana, a weedy species in the mustard family (Brassicaceae). The genome or hereditary information contained in the genes of this species is encoded by about 135 million base pairs of DNA, forming one of the smallest genomes among flowering plants. Arabidopsis was the first plant to have its genome sequenced, in 2000. The sequencing of some other relatively small genomes, of rice (Oryza sativa) and Brachypodium distachyon, has made them important model species for understanding the genetics, cellular and molecular biology of cereals, grasses and monocots generally.",Why was this plant chosen for sequencing?,one of the smallest genomes,357,384
1433,"A transistor is a semiconductor device used to amplify or switch electronic signals and electrical power. It is composed of semiconductor material with at least three terminals for connection to an external circuit. A voltage or current applied to one pair of the transistor's terminals changes the current through another pair of terminals. Because the controlled (output) power can be higher than the controlling (input) power, a transistor can amplify a signal. Today, some transistors are packaged individually, but many more are found embedded in integrated circuits.",Why does a transistor increase a signal?,the controlled (output) power can be higher than the controlling (input) power,350,428
57,"A special tribute to Simon Cowell was presented in the finale for his final season with the show. Many figures from the show's past, including Paula Abdul, made an appearance.",Why did Paula Abdul appear on the season nine finale of American Idol?,tribute to Simon Cowell,10,33
133,"The Washington National Records Center (WNRC), located in Suitland, Maryland is a large warehouse type facility which stores federal records which are still under the control of the creating agency. Federal government agencies pay a yearly fee for storage at the facility. In accordance with federal records schedules, documents at WNRC are transferred to the legal custody of the National Archives after a certain point (this usually involves a relocation of the records to College Park). Temporary records at WNRC are either retained for a fee or destroyed after retention times has elapsed. WNRC also offers research services and maintains a small research room.",What happens to temporary records at the WNRC if they are not retrieved by the end of the retention times?,destroyed,549,558
1140,"A lot of temples dedicated to Apollo were built in Greece and in the Greek colonies, and they show the spread of the cult of Apollo, and the evolution of the Greek architecture, which was mostly based on the rightness of form, and on mathematical relations. Some of the earliest temples, especially in Crete, don't belong to any Greek order. It seems that the first peripteral temples were rectangle wooden structures. The different wooden elements were considered divine, and their forms were preserved in the marble or stone elements of the temples of Doric order. The Greeks used standard types, because they believed that the world of objects was a series of typical forms which could be represented in several instances. The temples should be canonic, and the architects were trying to achieve the esthetic perfection. From the earliest times there were certain rules strictly observed in rectangular peripteral and prostyle buildings. The first buildings were narrow to hold the roof, and when the dimensions changed, some mathematical relations became necessary, in order to keep the original forms. This probably influenced the theory of numbers of Pythagoras, who believed that behind the appearance of things, there was the permanent principle of mathematics.",Why did mathematical relations become necessary?,in order to keep the original forms,1070,1105
933,"On April 7, 1989, Soviet troops and armored personnel carriers were sent to Tbilisi after more than 100,000 people protested in front of Communist Party headquarters with banners calling for Georgia to secede from the Soviet Union and for Abkhazia to be fully integrated into Georgia. On April 9, 1989, troops attacked the demonstrators; some 20 people were killed and more than 200 wounded. This event radicalized Georgian politics, prompting many to conclude that independence was preferable to continued Soviet rule. On April 14, Gorbachev removed Jumber Patiashvili as First Secretary of the Georgian Communist Party and replaced him with former Georgian KGB chief Givi Gumbaridze.",What happened to Georgian politics as a result of the attack?,radicalized,403,414
1576,"San Diego hosts several major producers of wireless cellular technology. Qualcomm was founded and is headquartered in San Diego, and is one of the largest private-sector employers in San Diego. Other wireless industry manufacturers headquartered here include Nokia, LG Electronics, Kyocera International., Cricket Communications and Novatel Wireless. The largest software company in San Diego is security software company Websense Inc. San Diego also has the U.S. headquarters for the Slovakian security company ESET. San Diego has been designated as an iHub Innovation Center for collaboration potentially between wireless and life sciences.",Why is San Diego known as an iHub Innovation Center?,for collaboration potentially between wireless and life sciences,577,641
823,"The area near the border with Cameroon close to the coast is rich rainforest and part of the Cross-Sanaga-Bioko coastal forests ecoregion, an important centre for biodiversity. It is habitat for the drill monkey, which is found in the wild only in this area and across the border in Cameroon. The areas surrounding Calabar, Cross River State, also in this forest, are believed to contain the world's largest diversity of butterflies. The area of southern Nigeria between the Niger and the Cross Rivers has lost most of its forest because of development and harvesting by increased population, with it being replaced by grassland (see Cross-Niger transition forests).",Why is southern Nigeria losing its forests?,development and harvesting by increased population,541,591
504,"At the start of her reign Victoria was popular, but her reputation suffered in an 1839 court intrigue when one of her mother's ladies-in-waiting, Lady Flora Hastings, developed an abdominal growth that was widely rumoured to be an out-of-wedlock pregnancy by Sir John Conroy. Victoria believed the rumours. She hated Conroy, and despised ""that odious Lady Flora"", because she had conspired with Conroy and the Duchess of Kent in the Kensington System. At first, Lady Flora refused to submit to a naked medical examination, until in mid-February she eventually agreed, and was found to be a virgin. Conroy, the Hastings family and the opposition Tories organised a press campaign implicating the Queen in the spreading of false rumours about Lady Flora. When Lady Flora died in July, the post-mortem revealed a large tumour on her liver that had distended her abdomen. At public appearances, Victoria was hissed and jeered as ""Mrs. Melbourne"".",Why did Victoria hate Sir Conroy and Lady Flora?,the Kensington System,429,450
1657,"In the north, the Republic of Novgorod prospered because it controlled trade routes from the River Volga to the Baltic Sea. As Kievan Rus' declined, Novgorod became more independent. A local oligarchy ruled Novgorod; major government decisions were made by a town assembly, which also elected a prince as the city's military leader. In the 12th century, Novgorod acquired its own archbishop Ilya in 1169, a sign of increased importance and political independence, while about 30 years prior to that in 1136 in Novgorod was established a republican form of government - elective monarchy. Since then Novgorod enjoyed a wide degree of autonomy although being closely associated with the Kievan Rus.",What happened to Novgorod when Kievan Rus began to decline?,became more independent,158,181
347,"In a channel transupport system, several proteins form a contiguous channel traversing the inner and outer membranes of the bacteria. It is a simple system, which consists of only three protein subunits: the ABC protein, membrane fusion protein (MFP), and outer membrane protein (OMP)[specify]. This secretion system transports various molecules, from ions, drugs, to proteins of various sizes (20 - 900 kDa). The molecules secreted vary in size from the small Escherichia coli peptide colicin V, (10 kDa) to the Pseudomonas fluorescens cell adhesion protein LapA of 900 kDa.",What happens in a chennel transupport system? ,several proteins form a contiguous channel traversing the inner and outer membranes of the bacteria,33,132
386,"The Vietnam War is often regarded as a low point for the U.S. Army due to the use of drafted personnel, the unpopularity of the war with the American public, and frustrating restrictions placed on the military by American political leaders. While American forces had been stationed in the Republic of Vietnam since 1959, in intelligence & advising/training roles, they did not deploy in large numbers until 1965, after the Gulf of Tonkin Incident. American forces effectively established and maintained control of the ""traditional"" battlefield, however they struggled to counter the guerrilla hit and run tactics of the communist Viet Cong and the North Vietnamese Army. On a tactical level, American soldiers (and the U.S. military as a whole) did not lose a sizable battle.",What caused American forces to deploy in large number in 1965?,Gulf of Tonkin Incident,423,446
1024,"There are 366 railway stations in the London Travelcard Zones on an extensive above-ground suburban railway network. South London, particularly, has a high concentration of railways as it has fewer Underground lines. Most rail lines terminate around the centre of London, running into eighteen terminal stations, with the exception of the Thameslink trains connecting Bedford in the north and Brighton in the south via Luton and Gatwick airports. London has Britain's busiest station by number of passengers – Waterloo, with over 184 million people using the interchange station complex (which includes Waterloo East station) each year. Clapham Junction is the busiest station in Europe by the number of trains passing.",Why does South London have such a high number of railways?,it has fewer Underground lines.,185,216
894,"A uniquely Creole tradition is the touloulous. These women wear decorative gowns, gloves, masks and headdresses that cover them completely, making them unrecognisable, even to the colour of their skin. On Friday and Saturday nights of Carnival, touloulou balls are held in so-called universities; in reality, large dance halls that open only at Carnival time. Touloulous get in free, and are even given condoms in the interest of the sexual health of the community. Men attend the balls, but they pay admittance and are not disguised. The touloulous pick their dance partners, who may not refuse. The setup is designed to make it easy for a woman to create a temporary liaison with a man in total anonymity. Undisguised women are not welcomed. By tradition, if such a woman gets up to dance, the orchestra stops playing. Alcohol is served at bars – the disguised women whisper to the men ""touloulou thirsty"", at which a round of drinks is expected, to be drunk through a straw protect their anonymity.",Why do the women drink through a straw? ,protect their anonymity,977,1000
828,"To promote culture Utrecht city organizes cultural Sundays. During a thematic Sunday several organisations create a program, which is open to everyone without, or with a very much reduced, admission fee. There are also initiatives for amateur artists. The city subsidises an organisation for amateur education in arts aimed at all inhabitants (Utrechts Centrum voor de Kunsten), as does the university for its staff and students. Additionally there are also several private initiatives. The city council provides coupons for discounts to inhabitants who receive welfare to be used with many of the initiatives.",What happens on Cultural Sunday ,"thematic Sunday several organisations create a program, which is open to everyone without, or with a very much reduced, admission fee",69,202
1764,"From 1966, Witness publications and convention talks built anticipation of the possibility that Christ's thousand-year reign might begin in late 1975 or shortly thereafter. The number of baptisms increased significantly, from about 59,000 in 1966 to more than 297,000 in 1974. By 1975, the number of active members exceeded two million. Membership declined during the late 1970s after expectations for 1975 were proved wrong. Watch Tower Society literature did not state dogmatically that 1975 would definitely mark the end, but in 1980 the Watch Tower Society admitted its responsibility in building up hope regarding that year.",Why did membership decline in the late 1970s?,after expectations for 1975 were proved wrong,379,424
475,"Roofing shingles account for most of the remaining asphalt/bitumen consumption. Other uses include cattle sprays, fence-post treatments, and waterproofing for fabrics. Asphalt/bitumen is used to make Japan black, a lacquer known especially for its use on iron and steel, and it is also used in paint and marker inks by some graffiti supply companies to increase the weather resistance and permanence of the paint or ink, and to make the color much darker.[citation needed] Asphalt/bitumen is also used to seal some alkaline batteries during the manufacturing process.",Why is Japan black used for outdoor paint?,weather resistance,366,384
1393,"The Luftwaffe's poor intelligence meant that their aircraft were not always able to locate their targets, and thus attacks on factories and airfields failed to achieve the desired results. British fighter aircraft production continued at a rate surpassing Germany's by 2 to 1. The British produced 10,000 aircraft in 1940, in comparison to Germany's 8,000. The replacement of pilots and aircrew was more difficult. Both the RAF and Luftwaffe struggled to replace manpower losses, though the Germans had larger reserves of trained aircrew. The circumstances affected the Germans more than the British. Operating over home territory, British flyers could fly again if they survived being shot down. German crews, even if they survived, faced capture. Moreover, bombers had four to five crewmen on board, representing a greater loss of manpower. On 7 September, the Germans shifted away from the destruction of the RAF's supporting structures. German intelligence suggested Fighter Command was weakening, and an attack on London would force it into a final battle of annihilation while compelling the British Government to surrender.",Why did the Luftwaffe fail to locate their targets?,poor intelligence,16,33
1301,"Britain had been surprised by the sudden Prussian offensive but now began shipping supplies and ₤670,000 (equivalent to ₤89.9 million in 2015) to its new ally. A combined force of allied German states was organised by the British to protect Hanover from French invasion, under the command of the Duke of Cumberland. The British attempted to persuade the Dutch Republic to join the alliance, but the request was rejected, as the Dutch wished to remain fully neutral. Despite the huge disparity in numbers, the year had been successful for the Prussian-led forces on the continent, in contrast to disappointing British campaigns in North America.",Why did the Dutch reject Britain's offer to join the alliance?,the Dutch wished to remain fully neutral,424,464
652,"Like most other regions of central and southern Germany, Thuringia has a significant industrial sector reaching back to the mid-19th-century industrialisation. The economic transition after the German reunification in 1990 led to the closure of most large-scale factories and companies, leaving small and medium-sized ones to dominate the manufacturing sector. Well-known industrial centres are Jena (a world centre for optical instruments with companies like Carl Zeiss, Schott and Jenoptik) and Eisenach, where BMW started its car production in the 1920s and an Opel factory is based today. The most important industrial branches today are engineering and metalworking, vehicle production and food industries. Especially the small and mid-sized towns in central and southwestern Thuringia (e.g. Arnstadt, Schmalkalden and Ohrdruf) are highly industrialised, whereas there are fewer industrial companies in the northern and eastern parts of the Land. Traditional industries like production of glass, porcelain and toys collapsed during the economic crises between 1930 and 1990.",What was the result of the economic transition after the German reunification in 1990?,the closure of most large-scale factories and companies,230,285
172,"In 1454 King Casimir IV granted the Nieszawa Statutes (Polish: ""statuty cerkwicko-nieszawskie""), clarifying the legal basis of voivodship sejmiks (local parliaments). The king could promulgate new laws, raise taxes, or call for a levée en masse (pospolite ruszenie) only with the consent of the sejmiks, and the nobility were protected from judicial abuses. The Nieszawa Statutes also curbed the power of the magnates, as the Sejm (national parliament) received the right to elect many officials, including judges, voivods and castellans. These privileges were demanded by the szlachta as a compensation for their participation in the Thirteen Years' War.",Why did the szlachta demand privileges?,their participation in the Thirteen Years' War.,608,655
