,Unnamed: 0,Unnamed: 0.1,PatternID,Text,Cause,Effect,cause_question,effect_question
394,394,446,14,"The Court of Justice of the European Union can interpret the Treaties, but it cannot rule on their validity, which is subject to international law. Individuals may rely on primary law in the Court of Justice of the European Union if the Treaty provisions have a direct effect and they are sufficiently clear, precise and unconditional. ",the Treaty provisions have a direct effect and,Individuals may rely on primary law in the Court of Justice of the European Union,"when may individuals rely on primary law in the court of justice of the european union ?
","if the treaty provisions have a direct effect and they are sufficiently clear , precise , and unconditional , who can rule on their validity ?
"
395,395,447,14,"This has meant both the European Court of Justice and the highest national courts have had to develop principles to resolve conflicts of laws between different systems. Within the EU itself, the Court of Justice 's view is that if EU law conflicts with a provision of national law, then EU law has primacy. In the first major case in 1964, Costa v ENEL, a Milanese lawyer, and former shareholder of an energy company, named Mr Costa refused to pay his electricity bill to Enel, as a protest against the nationalisation of the Italian energy corporations.","EU law conflicts with a provision of national law, then EU law has primacy","Within the EU itself, the Court of Justice 's view is that","what is the view of the court of justice within the eu ?
","why has the european court of justice and the highest national courts had to develop principles to resolve conflicts of laws between different systems ?
"
396,396,448,14,"By contrast, the Court of Justice held that ultimately the Treaty of Rome in no way prevented energy nationalisation, and in any case under the Treaty provisions only the Commission could have brought a claim, not Mr Costa. However, in principle, Mr Costa was entitled to plead that the Treaty conflicted with national law, and the court would have a duty to consider his claim to make a reference if there would be no appeal against its decision. The Court of Justice, repeating its view in Van Gend en Loos, said member states ""albeit within limited spheres, have restricted their sovereign rights and created a body of law applicable both to their nationals and to themselves"" on the ""basis of reciprocity"".",there would be no appeal against its decision,"However, in principle, Mr Costa was entitled to plead that the Treaty conflicted with national law, and the court would have a duty to consider his claim to make a reference","when would the court have a duty to consider mr costa ' s claim to make a reference ?
","would the court have a duty to consider his claim if there would be no appeal against the decision ?
"
397,397,449,14,"Both member states and the Commission have a general legal right or ""standing"" (locus standi) to bring claims against EU institutions and other member states for breach of the treaties. From the EU 's foundation, the Court of Justice also held that the Treaties allowed citizens or corporations to bring claims against EU and member state institutions for violation of the Treaties and Regulations, if they were properly interpreted as creating rights and obligations. However, under Directives, citizens or corporations were said in 1986 to not be allowed to bring claims against other non-state parties.",they were properly interpreted as creating rights and obligations,"From the EU 's foundation, the Court of Justice also held that the Treaties allowed citizens or corporations to bring claims against EU and member state institutions for violation of the Treaties and Regulations","why did the treaties allow citizens or corporations to bring claims against eu and member state institutions for violation of the treaties and regulations ?
","why did the treaties allow citizens or corporations to bring claims against eu institutions ?
"
398,398,450,14,"However, under Directives, citizens or corporations were said in 1986 to not be allowed to bring claims against other non-state parties. This meant courts of member states were not bound to apply an EU law where a national rule conflicted, even though the member state government could be sued, if it would impose an obligation on another citizen or corporation. These rules on ""direct effect"" limit the extent to which member state courts are bound to administer EU law.",it would impose an obligation on another citizen or corporation,"This meant courts of member states were not bound to apply an EU law where a national rule conflicted, even though the member state government could be sued","why could a member state government be sued if a national rule conflicted ?
","why were citizens or corporations not allowed to bring claims against other non - state parties ?
"
399,399,451,14," While the Treaties and Regulations will have direct effect (if clear, unconditional and immediate), Directives do not generally give citizens (as opposed to the member state) standing to sue other citizens. In theory, this is because TFEU article 288 says Directives are addressed to the member states and usually ""leave to the national authorities the choice of form and methods"" to implement.","clear, unconditional and immediate), Directives do not generally give citizens (as opposed to the member state) standing to sue other citizens",the Treaties and Regulations will have direct effect (,"when will the treaties and regulations have direct effect ?
","what happens if clear , unconditional and immediate ?
"
400,400,452,14,"In Foster v British Gas plc the Court of Justice held that Mrs Foster was entitled to bring a sex discrimination claim against her employer, British Gas plc, which made women retire at age 60 and men at 65, if (1) pursuant to a state measure, (2) it provided a public service, and (3) had special powers. This could also be true if the enterprise is privatised, as it was held with a water company that was responsible for basic water provision. ",the enterprise is privatised,This could also be true,"in what case could this claim be true ?
","what is true if the enterprise is privatised ?
"
401,401,453,14,"According to Article 101 (2) any such agreements are automatically void. Article 101 (3) establishes exemptions, if the collusion is for distributional or technological innovation, gives consumers a ""fair share"" of the benefit and does not include unreasonable restraints that risk eliminating competition anywhere (or compliant with the general principle of European Union law of proportionality). Article 102 prohibits the abuse of dominant position, such as price discrimination and exclusive dealing.","the collusion is for distributional or technological innovation, gives consumers a ""fair share"" of the benefit and does not include unreasonable restraints that risk eliminating competition anywhere (or compliant with the general principle of European Union law of proportionality)",Article 101 (3) establishes exemptions,"why are exemptions established in article 101 ( 3 ) ?
","if the collusion is for distributional or technological innovation , gives consumers a "" fair share "" of the benefit and does not include unreasonable restraints that risk eliminating competition anywhere ?
"
402,402,454,14,"While the concept of a ""social market economy"" was only introduced into EU law in 2007, free movement and trade were central to European development since the Treaty of Rome 1957. According to the standard theory of comparative advantage, two countries can both benefit from trade even if one of them has a less productive economy in all respects. Like in other regional organisations such as the North American Free Trade Association, or the World Trade Organisation, breaking down barriers to trade, and enhancing free movement of goods, services, labour and capital, is meant to reduce consumer prices.",one of them has a less productive economy in all respects,"According to the standard theory of comparative advantage, two countries can both benefit from trade even","why can two countries both benefit from trade even if ?
","why can two countries benefit from trade even if one of them has a less productive economy in all respects ?
"
403,403,455,14,"In Walter Rau Lebensmittelwerke v De Smedt PVBA the Court of Justice found that a Belgian law requiring all margarine to be in cube shaped packages infringed article 34, and was not justified by the pursuit of consumer protection. The argument that Belgians would believe it was butter if it was not cube shaped was disproportionate: it would ""considerably exceed the requirements of the object in view"" and labelling would protect consumers ""just as effectively"". In a 2003 case, Commission v Italy Italian law required that cocoa products that included other vegetable fats could not be labelled as ""chocolate"".","it was not cube shaped was disproportionate: it would ""considerably exceed the requirements of the object in view"" and labelling would protect consumers",The argument that Belgians would believe it was butter,"why would belgians believe it was butter if it was not cube shaped ?
","what argument was disproportionate in the case of walter rau lebensmittelwerks v de smedt pvba ?
"
404,404,456,14,"While the bans have remained (justifiable under article 36 or as a mandatory requirement) the Court emphasised that complete marketing bans could be disproportionate if advertising were ""the only effective form of promotion enabling-LSB-a trader-RSB-to penetrate"" the market. In Konsumentombudsmannen v Gourmet AB the Court suggested that a total ban for advertising alcohol on the radio, TV and in magazines could fall within article 34 where advertising was the only way for sellers to overcome consumers ' ""traditional social practices and to local habits and customs"" to buy their products, but again the national courts would decide whether it was justified under article 36 to protect public health.","advertising were ""the only effective form of promotion enabling-LSB-a trader-RSB-to penetrate"" the market",the Court emphasised that complete marketing bans could be disproportionate,"why could complete marketing bans be disproportionate ?
","why have the bans remained ?
"
405,405,457,14,"The Court of Justice held ""the transfer rules constitute-LSB-d-RSB-an obstacle to free movement"" and were unlawful unless they could be justified in the public interest, but this was unlikely. In Groener v Minister for Education the Court of Justice accepted that a requirement to speak Gaelic to teach in a Dublin design college could be justified as part of the public policy of promoting the Irish language, but only if the measure was not disproportionate. By contrast in Angonese v Cassa di Risparmio di Bolzano SpA a bank in Bolzano, Italy, was not allowed to require Mr Angonese to have a bilingual certificate that could only be obtained in Bolzano.",the measure was not disproportionate,"v Minister for Education the Court of Justice accepted that a requirement to speak Gaelic to teach in a Dublin design college could be justified as part of the public policy of promoting the Irish language, but only","why could a requirement to speak gaelic to teach in a dublin design college be justified as part of the public policy of promoting irish language ?
","in what case did the court of justice accept that a requirement to speak gaelic in a dublin design college could be justified if the measure was not disproportionate ?
"
406,406,458,14,"By contrast, in Centros Ltd v Erhversus-og Selkabssyrelsen the Court of Justice found that a UK limited company operating in Denmark could not be required to comply with Denmark 's minimum share capital rules. UK law only required # 1 of capital to start a company, while Denmark 's legislature took the view companies should only be started up if they had 200,000 Danish krone (around $ 27,000) to protect creditors if the company failed and went insolvent. The Court of Justice held that Denmark 's minimum capital law infringed Centros Ltd 's freedom of establishment and could not be justified, because a company in the UK could admittedly provide services in Denmark without being established there, and there were less restrictive means of achieving the aim of creditor protection.","they had 200,000 Danish krone (around $ 27,000) to protect creditors if the company failed and went insolvent","UK law only required # 1 of capital to start a company, while Denmark 's legislature took the view companies should only be started up","what did denmark ' s legislature believe companies should only be started up if ?
","why couldn ' t centros ltd v erhversus - og selkabssyrelsen comply with denmark ' s minimum share capital rules ?
"
407,407,459,14,"By contrast, in Centros Ltd v Erhversus-og Selkabssyrelsen the Court of Justice found that a UK limited company operating in Denmark could not be required to comply with Denmark 's minimum share capital rules. UK law only required # 1 of capital to start a company, while Denmark 's legislature took the view companies should only be started up if they had 200,000 Danish krone (around $ 27,000) to protect creditors if the company failed and went insolvent. The Court of Justice held that Denmark 's minimum capital law infringed Centros Ltd 's freedom of establishment and could not be justified, because a company in the UK could admittedly provide services in Denmark without being established there, and there were less restrictive means of achieving the aim of creditor protection.",the company failed and went insolvent,"they had 200,000 Danish krone (around $ 27,000) to protect creditors","for what purpose should companies be started up if they had 200 , 000 danish krone ?
","why should companies only be started up if the company failed and went insolvent ?
"
408,408,460,14,"It is also often difficult to identify the remains of ctenophores in the guts of possible predators, although the combs sometimes remain intact long enough to provide a clue. Detailed investigation of chum salmon, Oncorhynchus keta, showed that these fish digest ctenophores 20 times as fast as an equal weight of shrimps, and that ctenophores can provide a good diet if there are enough of them around. Beroids prey mainly on other ctenophores.",there are enough of them around,"Detailed investigation of chum salmon, Oncorhynchus keta, showed that these fish digest ctenophores 20 times as fast as an equal weight of shrimps, and that ctenophores can provide a good diet","when can ctenophores provide a good diet for chum salmon ?
","can ctenophores provide a good diet if there are enough of them around ?
"
409,409,461,14,"The law requires that the GP practice be located in a designated rural area and that there is also a specified, minimum distance (currently 1.6 kilometres) between a patient 's home and the nearest retail pharmacy. This law also exists in Austria for general physicians if the nearest pharmacy is more than 4 kilometers away, or where none is registered in the city. ","the nearest pharmacy is more than 4 kilometers away, or where none is registered in the city",This law also exists in Austria for general physicians,"when does this law exist in austria for general physicians ?
","where does the law exist if the nearest pharmacy is more than 4 kilometers away , or where none is registered in the city ?
"
410,410,462,14,"They are also being paid for by the government for medicine use reviews. In Scotland the pharmacist can write prescriptions for Scottish registered patients of their regular medications, for the majority of drugs, except for controlled drugs, when the patient is unable to see their doctor, as could happen if they are away from home or the doctor is unavailable. In the United States, pharmaceutical care or clinical pharmacy has had an evolving influence on the practice of pharmacy.",they are away from home or the doctor is unavailable,"In Scotland the pharmacist can write prescriptions for Scottish registered patients of their regular medications, for the majority of drugs, except for controlled drugs, when the patient is unable to see their doctor, as could happen","when can a patient be unable to see their doctor ?
","can a pharmacist write prescriptions for scottish registered patients of their regular medications ?
"
411,411,463,14,"She gives a stirring speech in which she tells him that she must obey her conscience rather than human law. She is not at all afraid of the death he threatens her with (and eventually carries out), but she is afraid of how her conscience will smite her if she does not do this. ",she does not do this,"She is not at all afraid of the death he threatens her with (and eventually carries out), but she is afraid of how her conscience will smite her","to what end does she fear her conscience will smite her ?
","is she afraid of what if she doesn ' t do this ?
"
412,412,464,14,"Some theories of civil disobedience hold that civil disobedience is only justified against governmental entities. Brownlee argues that disobedience in opposition to the decisions of non-governmental agencies such as trade unions, banks, and private universities can be justified if it reflects ""a larger challenge to the legal system that permits those decisions to be taken"". The same principle, she argues, applies to breaches of law in protest against international organizations and foreign governments.","it reflects ""a larger challenge to the legal system that permits those decisions to be taken","disobedience in opposition to the decisions of non-governmental agencies such as trade unions, banks, and private universities can be justified","why can disobedience in opposition to the decisions of non - governmental agencies be justified ?
","why does brownlee believe that civil disobedience can be justified ?
"
413,413,465,14," It is usually recognized that lawbreaking, if it is not done publicly, at least must be publicly announced in order to constitute civil disobedience. But Stephen Eilmann argues that if it is necessary to disobey rules that conflict with morality, we might ask why disobedience should take the form of public civil disobedience rather than simply covert lawbreaking.","it is not done publicly, at least must be publicly announced in order to constitute civil disobedience",It is usually recognized that lawbreaking,"why is it usually recognized that lawbreaking is usually recognized ?
","what must be publicly announced in order to constitute civil disobedience ?
"
414,414,466,14,"This assumes that common morality does not have a prohibition on deceit in such situations. The Fully Informed Jury Association 's publication ""A Primer for Prospective Jurors"" notes, ""Think of the dilemma faced by German citizens when Hitler 's secret police demanded to know if they were hiding a Jew in their house."" By this definition, civil disobedience could be traced back to the Book of Exodus, where Shiphrah and Puah refused a direct order of Pharaoh but misrepresented how they did it.",they were hiding a Jew in their house,"publication ""A Primer for Prospective Jurors"" notes, ""Think of the dilemma faced by German citizens when Hitler 's secret police demanded to know","what did hitler ' s secret police demand from german citizens ?
","what is the purpose of the fully informed jury association ?
"
415,415,467,14,"Thoreau wrote, ""My civil neighbor, the tax-gatherer, is the very man I have to deal with--for it is, after all, with men and not with parchment that I quarrel--and he has voluntarily chosen to be an agent of the government. How shall he ever know well that he is and does as an officer of the government, or as a man, until he is obliged to consider whether he will treat me, his neighbor, for whom he has respect, as a neighbor and well-disposed man, or as a maniac and disturber of the peace, and see if he can get over this obstruction to his neighborliness without a ruder and more impetuous thought or speech corresponding with his action."" ",he can get over this obstruction to his neighborliness without a ruder and more impetuous thought or speech corresponding with his action,"he ever know well that he is and does as an officer of the government, or as a man, until he is obliged to consider whether he will treat me, his neighbor, for whom he has respect, as a neighbor and well-disposed man, or as a maniac and disturber of the peace, and see","what did thoreau hope to do with the tax - gatherer ?
","how shall he know that he is an agent of the government ?
"
416,416,468,14,"Likewise, when Carter Wentworth was charged for his role in the Clamshell Alliance 's 1977 illegal occupation of the Seabrook Station Nuclear Power Plant, the judge instructed the jury to disregard his competing harms defense, and he was found guilty. Fully Informed Jury Association activists have sometimes handed out educational leaflets inside courthouses despite admonitions not to; according to FIJA, many of them have escaped prosecution because ""prosecutors have reasoned (correctly) that if they arrest fully informed jury leafleters, the leaflets will have to be given to the leafleter 's own jury as evidence."" ",they arrest fully informed,prosecutors have reasoned (correctly) that,"for what purpose have prosecutors reasoned that the leaflets will have to be given to the leafleter ' s own jury ?
","why have many fully informed jury leafleters escaped prosecution ?
"
417,417,469,14,"When B cells and T cells are activated and begin to replicate, some of their offspring become long-lived memory cells. Throughout the lifetime of an animal, these memory cells remember each specific pathogen encountered and can mount a strong response if the pathogen is detected again. This is ""adaptive"" because it occurs during the lifetime of an individual as an adaptation to infection with that pathogen and prepares the immune system for future challenges.",the pathogen is detected again,"Throughout the lifetime of an animal, these memory cells remember each specific pathogen encountered and can mount a strong response","when can memory cells mount a strong response ?
","why are b cells and t cells long - lived memory cells ?
"
418,418,470,14,"This allows killer T cells to recognize the tumor cell as abnormal. NK cells also kill tumorous cells in a similar way, especially if the tumor cells have fewer MHC class I molecules on their surface than normal; this is a common phenomenon with tumors. Sometimes antibodies are generated against tumor cells allowing for their destruction by the complement system.",the tumor cells have fewer MHC class I molecules on their surface than normal;,"NK cells also kill tumorous cells in a similar way, especially","why do nk cells kill tumorous cells in a similar way to nk cells ?
","why do tumors have fewer mhc class i molecules on their surface than normal ?
"
419,419,471,14,"There are two theories as to why the pro-inflammatory state is reserved for sleep time. First, inflammation would cause serious cognitive and physical impairments if it were to occur during wake times. Second, inflammation may occur during sleep times due to the presence of melatonin.",it were to occur during wake times,"First, inflammation would cause serious cognitive and physical impairments","why would inflammation cause serious cognitive and physical impairments ?
","why is the pro - inflammatory state reserved for wake times ?
"
420,420,472,14," Larger drugs (>500 Da) can provoke a neutralizing immune response, particularly if the drugs are administered repeatedly, or in larger doses. This limits the effectiveness of drugs based on larger peptides and proteins (which are typically larger than 6000 Da).","the drugs are administered repeatedly, or","Larger drugs (>500 Da) can provoke a neutralizing immune response, particularly","why can larger drugs provoke a neutralizing immune response ?
","what happens if the drugs are administered repeatedly or in larger doses ?
"
421,421,473,14,"An element p of R is called prime element if it is neither zero nor a unit (i.e., does not have a multiplicative inverse) and satisfies the following requirement: given x and y in R such that p divides the product xy, then p divides x or y. An element is irreducible if it is not a unit and cannot be written as a product of two ring elements that are not units. In the ring Z of integers, the set of prime elements equals the set of irreducible elements, which is",it is not a unit and cannot be written as a product of two ring elements that are not units,An element is irreducible,"why is an element irreducible ?
","what happens if an element is not a unit and cannot be written as a product of two ring elements that are not units ?
"
422,422,474,14,"Typically, ministers or party leaders open debates, with opening speakers given between 5 and 20 minutes, and succeeding speakers allocated less time. The Presiding Officer can reduce speaking time if a large number of members wish to participate in the debate. Debate is more informal than in some parliamentary systems.",a large number of members wish to participate in the debate,The Presiding Officer can reduce speaking time,"for what purpose can the presiding officer reduce speaking time ?
","what can happen if a large number of members wish to participate in the debate ?
"
423,423,475,14,"Members of the police and the armed forces are disqualified from sitting in the Scottish Parliament as elected MSPs, and similarly, civil servants and members of foreign legislatures are disqualified. An individual may not sit in the Scottish Parliament if he or she is judged to be insane under the terms of the Mental Health (Care and Treatment) (Scotland)",he or she is judged to be insane under the terms of the Mental Health (Care and Treatment),An individual may not sit in the Scottish Parliament,"why may an individual not sit in the scottish parliament ?
","what may happen to an individual if he or she is judged to be insane under the terms of the mental health ( care and treatment ) ( scotland ) ?
"
424,424,476,14," Islamists have asked the question, ""If Islam is a way of life, how can we say that those who want to live by its principles in legal, social, political, economic, and political spheres of life are not Muslims, but Islamists and believe in Islamism, not-LSB-just-RSB-Islam?"" Similarly, a writer for the International Crisis Group maintains that ""the conception of ` political Islam '"" is a creation of Americans to explain the Iranian Islamic Revolution and apolitical Islam was a historical fluke of the ""short-lived era of the heyday of secular Arab nationalism between 1945 and 1970"", and it is quietist/non-political Islam, not Islamism, that requires explanation.","Islam is a way of life, how can we say that those who want to live by its principles in legal, social, political, economic, and political spheres of life are not Muslims",Islamists have asked the question,"what have islamists asked about islam ?
","how can we say that those who want to live by its principles in legal , social , political , and political spheres of life are not muslims ?
"
425,425,477,14," Governor Robert Dinwiddie of Virginia was an investor in the Ohio Company, which stood to lose money if the French held their claim. To counter the French military presence in Ohio, in October 1753 Dinwiddie ordered the 21-year-old Major George Washington (whose brother was another Ohio Company investor) of the Virginia Regiment to warn the French to leave Virginia territory.",the French held their claim,"Governor Robert Dinwiddie of Virginia was an investor in the Ohio Company, which stood to lose money","why did the ohio company stand to lose money ?
","why did the virginia regiment warn the french to leave virginia territory ?
"
426,426,478,14,"If an astronaut places an object with mass in mid-air next to himself, it will remain stationary with respect to the astronaut due to its inertia. This is the same thing that would occur if the astronaut and the object were in intergalactic space with no net force of gravity acting on their shared reference frame. This principle of equivalence was one of the foundational underpinnings for the development of the general theory of relativity.",the astronaut and the object were in intergalactic space with no net force of gravity acting on their shared reference frame,This is the same thing that would occur,"what would happen to the object with mass in mid - air next to him ?
","what would happen if the astronaut and the object were in intergalactic space with no net force of gravity acting on their shared reference frame ?
"
427,427,479,14,"Thus, in an Aristotelian universe, the falling cannonball would land behind the foot of the mast of a moving ship. However, when this experiment is actually conducted, the cannonball always falls at the foot of the mast, as if the cannonball knows to travel with the ship despite being separated from it. Since there is no forward horizontal force being applied on the cannonball as it falls, the only conclusion left is that the cannonball continues to move with the same velocity as the boat as it falls.",the cannonball knows to travel with the ship despite being separated from it,"However, when this experiment is actually conducted, the cannonball always falls at the foot of the mast, as","why does the cannonball always fall at the foot of the mast ?
","does the cannonball know to travel with the ship despite being separated from it ?
"
428,428,480,14,"Newton came to realize that the effects of gravity might be observed in different ways at larger distances. In particular, Newton determined that the acceleration of the Moon around the Earth could be ascribed to the same force of gravity if the acceleration due to gravity decreased as an inverse square law. Further, Newton realized that the acceleration due to gravity is proportional to the mass of the attracting body.",the acceleration due to gravity decreased as an inverse square law,"In particular, Newton determined that the acceleration of the Moon around the Earth could be ascribed to the same force of gravity","why could the acceleration of the moon around the earth be attributed to the same force of gravity ?
","why did newton realize that the effects of gravity might be observed in different ways at larger distances ?
"
429,429,481,14,"In GR, gravitation is not viewed as a force, but rather, objects moving freely in gravitational fields travel under their own inertia in straight lines through curved space-time--defined as the shortest space-time path between two space-time events. From the perspective of the object, all motion occurs as if there were no gravitation whatsoever. It is only when observing the motion in a global sense that the curvature of space-time can be observed and the force is inferred from the object 's curved path.",there were no gravitation whatsoever,"From the perspective of the object, all motion occurs as","from the perspective of the object , all motion occurs as if what ?
","what happens as if there were no gravitation whatsoever ?
"
430,430,482,68,"A problem is regarded as inherently difficult if its solution requires significant resources, whatever the algorithm used. The theory formalizes this intuition, by introducing mathematical models of computation to study these problems and quantifying the amount of resources needed to solve them, such as time and storage. Other complexity measures are also used, such as the amount of communication (used in communication complexity), the number of gates in a circuit (used in circuit complexity) and the number of processors (used in parallel computing).","introducing mathematical models of computation to study these problems and quantifying the amount of resources needed to solve them, such as time and storage",The theory formalizes this intuition,"how does the theory formalize this intuition ?
","why is a problem regarded as inherently difficult if its solution requires significant resources ?
"
431,431,483,68,"As in a real-world computer, mathematical objects other than bitstrings must be suitably encoded. For example, integers can be represented in binary notation, and graphs can be encoded directly via their adjacency matrices, or by encoding their adjacency lists in binary. ",encoding their adjacency lists in binary,"graphs can be encoded directly via their adjacency matrices, or","how can graphs be encoded directly ?
","how can graphs be encoded ?
"
432,432,484,68, Many important complexity classes can be defined by bounding the time or space used by the algorithm. Some important complexity classes of decision problems defined in this manner are the following:,bounding the time or space used by the algorithm,Many important complexity classes can be defined,"how can many important complexity classes of decision problems be defined ?
","what can be defined by bounding the time or space used by the algorithm ?
"
433,433,485,68,"For time and space requirements, the answer to such questions is given by the time and space hierarchy theorems respectively. They are called hierarchy theorems because they induce a proper hierarchy on the classes defined by constraining the respective resources. Thus there are pairs of complexity classes such that one is properly included in the other.",constraining the respective resources,a proper hierarchy on the classes defined,"why do hierarchy theorems induce a proper hierarchy on the classes defined by ?
","what do they induce by constraining the respective resources ?
"
434,434,486,68,"This means an algorithm for multiplying two integers can be used to square an integer. Indeed, this can be done by giving the same input to both inputs of the multiplication algorithm. Thus we see that squaring is not more difficult than multiplication, since squaring can be reduced to multiplication.",giving the same input to both inputs of the multiplication algorithm,"Indeed, this can be done","how can an algorithm for multiplying two integers be used to square an integer ?
","can an algorithm for multiplying two integers be used to square an integer by giving the same input to both inputs of the multiplication algorithm ?
"
435,435,487,68,"Even though some proofs of complexity-theoretic theorems regularly assume some concrete choice of input encoding, one tries to keep the discussion abstract enough to be independent of the choice of encoding. This can be achieved by ensuring that different representations can be transformed into each other efficiently. ",ensuring that different representations can be transformed into each other efficiently,This can be achieved,"by what means can this be achieved ?
","by ensuring that different representations can be transformed into each other efficiently ?
"
436,436,488,68,"Newcomen 's engine was relatively inefficient, and in most cases was used for pumping water. It worked by creating a partial vacuum by condensing steam under a piston within a cylinder. It was employed for draining mine workings at depths hitherto impossible, and also for providing a reusable water supply for driving waterwheels at factories sited away from a suitable ""head"".",creating a partial vacuum by condensing steam under a piston within a cylinder,It worked,"how did newcomen ' s engine work ?
","by creating a partial vacuum by condensing steam under a piston within a cylinder , what did it do ?
"
437,437,489,68,"The combined setup gave a fair approximation of the ideal events, at the expense of increased friction and wear, and the mechanism tended to be complicated. The usual compromise solution has been to provide lap by lengthening rubbing surfaces of the valve in such a way as to overlap the port on the admission side, with the effect that the exhaust side remains open for a longer period after cut-off on the admission side has occurred. This expedient has since been generally considered satisfactory for most purposes and makes possible the use of the simpler Stephenson, Joy and Walschaerts motions.",lengthening rubbing surfaces of the valve in such a way,The usual compromise solution has been to provide lap,"what has been the usual compromise solution ?
","to what end have the rubbing surfaces of the valve been lengthened by lengthening rubbing surfaces in such a way to overlap the port on the admission side ?
"
438,438,490,68,"Uniflow engines attempt to remedy the difficulties arising from the usual counterflow cycle where, during each stroke, the port and the cylinder walls will be cooled by the passing exhaust steam, whilst the hotter incoming admission steam will waste some of its energy in restoring working temperature. The aim of the uniflow is to remedy this defect and improve efficiency by providing an additional port uncovered by the piston at the end of each stroke making the steam flow only in one direction. By this means, the simple-expansion uniflow engine gives efficiency equivalent to that of classic compound systems with the added advantage of superior part-load performance, and comparable efficiency to turbines for smaller engines below one thousand horsepower.",providing an additional port uncovered by the piston at the end of each stroke making the steam flow only in one direction,The aim of the uniflow is to remedy this defect and improve efficiency,"what is the aim of the uniflow to improve efficiency ?
","for what purpose does the uniflow provide an additional port uncovered by the piston at the end of each stroke ?
"
439,439,491,68,"The governor could not actually hold a set speed, because it would assume a new constant speed in response to load changes. The governor was able to handle smaller variations such as those caused by fluctuating heat load to the boiler. Also, there was a tendency for oscillation whenever there was a speed change.",fluctuating heat load to the boiler,The governor was able to handle smaller variations such as those caused,"for what purpose was the governor able to handle smaller variations ?
","what did the governor do when fluctuating heat load to the boiler occur ?
"
440,440,492,68," Virtually all nuclear power plants generate electricity by heating water to provide steam that drives a turbine connected to an electrical generator. Nuclear-powered ships and submarines either use a steam turbine directly for main propulsion, with generators providing auxiliary power, or else employ turbo-electric transmission, where the steam drives a turbo generator set with propulsion provided by electric motors.",heating water to provide steam that drives a turbine connected to an electrical generator,Virtually all nuclear power plants generate electricity,"why do virtually all nuclear power plants generate electricity ?
","what does heating water to provide steam that drives a turbine connected to an electrical generator do ?
"
441,441,493,68,"In the late 17th century, Robert Boyle proved that air is necessary for combustion. English chemist John Mayow (1641--1679) refined this work by showing that fire requires only a part of air that he called spiritus nitroaereus or just nitroaereus. In one experiment he found that placing either a mouse or a lit candle in a closed container over water caused the water to rise and replace one-fourteenth of the air 's volume before extinguishing the subjects.",showing that fire requires only a part of air that he called spiritus nitroaereus or just nitroaereus,1641--1679) refined this work,"why did john mayow refined this work ?
","when did english chemist john mayow do this ?
"
442,442,494,68,Philo incorrectly surmised that parts of the air in the vessel were converted into the classical element fire and thus were able to escape through pores in the glass. Many centuries later Leonardo da Vinci built on Philo 's work by observing that a portion of air is consumed during combustion and respiration. ,observing that a portion of air is consumed during combustion and respiration,Leonardo da Vinci built on Philo 's work,"how did leonardo da vinci build on philo ' s work ?
","who observed that a portion of air is consumed during combustion and respiration ?
"
443,443,495,68,"The metastable molecule tetraoxygen (O It was proven in 2006 that this phase, created by pressurizing O This cluster has the potential to be a much more powerful oxidizer than either O",pressurizing O,"It was proven in 2006 that this phase, created","how was this cluster created ?
","was it proven in 2006 that this phase was created by pressurizing o
"
444,444,496,68,"The first commercially viable process for producing liquid oxygen was independently developed in 1895 by German engineer Carl von Linde and British engineer William Hampson. Both men lowered the temperature of air until it liquefied and then distilled the component gases by boiling them off one at a time and capturing them. Later, in 1901, oxyacetylene welding was demonstrated for the first time by burning a mixture of acetylene and compressed O",boiling them off one at a time and capturing them,Both men lowered the temperature of air until it liquefied and then distilled the component gases,"how did both men distill the component gases ?
","why was the first commercially viable process for producing liquid oxygen independently developed by carl von linde and british engineer william hampson ?
"
445,445,497,68,"Both men lowered the temperature of air until it liquefied and then distilled the component gases by boiling them off one at a time and capturing them. Later, in 1901, oxyacetylene welding was demonstrated for the first time by burning a mixture of acetylene and compressed O This method of welding and cutting metal later became common.",burning a mixture of acetylene and compressed O,"Later, in 1901, oxyacetylene welding was demonstrated for the first time","what was used to demonstrate oxyacetylene welding in 1901 ?
","when was oxyacetylene welding first demonstrated ?
"
446,446,498,68,"Water polluted with plant nutrients such as nitrates or phosphates may stimulate growth of algae by a process called eutrophication and the decay of these organisms and other biomaterials may reduce amounts of O Scientists assess this aspect of water quality by measuring the water 's biochemical oxygen demand, or the amount of O ","measuring the water 's biochemical oxygen demand, or the amount of O",Scientists assess this aspect of water quality,"how do scientists assess this aspect of water quality ?
","what do scientists do by measuring the water ' s biochemical oxygen demand , or the amount of o ?
"
447,447,499,68,"O Simultaneously, nitrogen gas is released from the other nitrogen-saturated zeolite bed, by reducing the chamber operating pressure and diverting part of the oxygen gas from the producer bed through it, in the reverse direction of flow. After a set cycle time the operation of the two beds is interchanged, thereby allowing for a continuous supply of gaseous oxygen to be pumped through a pipeline.","reducing the chamber operating pressure and diverting part of the oxygen gas from the producer bed through it, in the reverse direction of flow","Simultaneously, nitrogen gas is released from the other nitrogen-saturated zeolite bed","how is nitrogen gas released from the other nitrogen - saturated zeolite bed ?
","what happens when the chamber operating pressure and diverting part of the oxygen gas from the producer bed through it ?
"
