,Pattern_id,Text,Cause,Effect,cause_question,effect_question
523,116,"How shall he ever know well that he is and does as an officer of the government , or as a man , until he is obliged to consider whether he will treat me , his neighbor , for whom he has respect , as a neighbor and well-disposed man , or as a maniac and disturber of the peace , and see if he can get over this obstruction to his neighborliness without a ruder and more impetuous thought or speech corresponding with his action .Some civil disobedients feel it is incumbent upon them to accept punishment because of their belief in the validity of the social contract , which is held to bind all to obey the laws that a government meeting certain standards of legitimacy has established , or else suffer the penalties set out in the law .Other civil disobedients who favor the existence of government still do n't believe in the legitimacy of their particular government , or do n't believe in the legitimacy of a particular law it has enacted .","of their belief in the validity of the social contract , which is held to bind all to obey the laws","a government meeting certain standards of legitimacy has established , or else suffer the penalties set out in the law .","why do some civil disobedients feel it is incumbent upon them to accept punishment ?
","the social contract is held to bind all to obey what laws ?
"
524,1,"Other civil disobedients who favor the existence of government still do n't believe in the legitimacy of their particular government , or do n't believe in the legitimacy of a particular law it has enacted .And still other civil disobedients , being anarchists , do n't believe in the legitimacy of any government , and therefore see no need to accept punishment for a violation of criminal law that does not infringe the rights of others .An important decision for civil disobedients is whether or not to plead guilty .","And still other civil disobedients , being anarchists , do n't believe in the legitimacy of any government",see no need to accept punishment for a violation of criminal law that does not infringe the rights of others .,"do anarchists believe in the legitimacy of any government ?
","do anarchists believe in the legitimacy of a government ?
"
525,80,"An important decision for civil disobedients is whether or not to plead guilty .There is much debate on this point , as some believe that it is a civil disobedient 's duty to submit to the punishment prescribed by law , while others believe that defending oneself in court will increase the possibility of changing the unjust law .It has also been argued that either choice is compatible with the spirit of civil disobedience .","some believe that it is a civil disobedient 's duty to submit to the punishment prescribed by law , while others believe that defending oneself in court will increase the possibility of changing the unjust law .",There is much debate on this point,"why is there a lot of debate on whether or not to plead guilty ?
","is pleading guilty an important decision for civil disobedience ?
"
526,80,"I do n't deny it ; in fact , I am proud of it .I feel I did the right thing by violating this particular law ; I am guilty as charged , '' but that pleading not guilty sends a message of , `` Guilt implies wrong-doing .I feel I have done no wrong .","charged , '' but that pleading not guilty sends a message of , `` Guilt implies wrong-doing .",I am guilty,"what does it mean to be guilty of a crime ?
","what does pleading not guilty send a message of ?
"
527,1,"I may have violated some specific laws , but I am guilty of doing no wrong .I therefore plead not guilty .A plea of no contest is sometimes regarded as a compromise between the two .","may have violated some specific laws , but I am guilty of doing no wrong . I",plead not guilty .,"what does a plea of no contest do ?
","what is the result of a plea of no contest ?
"
528,67,"But that is different than the notion that they must go to jail as part of a rule connected with civil disobedience .The key point is that the spirit of protest should be maintained all the way , whether it is done by remaining in jail , or by evading it .To accept jail penitently as an accession to ` the rules ' is to switch suddenly to a spirit of subservience , to demean the seriousness of the protest .",remaining in jail,", or","what is one way to maintain the spirit of protest ?
","by staying in jail , or by evading it , what should protesters do to maintain the spirit of protest ?
"
529,80,"The key point is that the spirit of protest should be maintained all the way , whether it is done by remaining in jail , or by evading it .To accept jail penitently as an accession to ` the rules ' is to switch suddenly to a spirit of subservience , to demean the seriousness of the protest ..","an accession to ` the rules ' is to switch suddenly to a spirit of subservience , to demean the seriousness of the protest .","The key point is that the spirit of protest should be maintained all the way , whether it is done by remaining in jail , or by evading it . To accept jail penitently","what is it called to accept jail penitently ?
","how should the spirit of protest be maintained ?
"
530,5,"Navy property argued to the court in allocution that `` the ones who are violating the greater law are the members of the Navy '' .As a result , the judge increased her sentence from 40 to 60 days .This action was upheld because , according to the U .",Navy property argued to the court in allocution that `` the ones who are violating the greater law are the members of the Navy '',the judge increased her sentence from 40 to 60 days .,"why did the judge increase the sentence from 40 to 60 days ?
","what was the result of navy property ' s argument ?
"
531,55,"As a result , the judge increased her sentence from 40 to 60 days .This action was upheld because , according to the U .S .",the U,This action was upheld because,"what country upheld the judge ' s decision ?
","why was the judge ' s sentence increased ?
"
532,17,"Some of the other allocution speeches given by the protesters complained about mistreatment from government officials .Steven Barkan writes that if defendants plead not guilty , `` they must decide whether their primary goal will be to win an acquittal and avoid imprisonment or a fine , or to use the proceedings as a forum to inform the jury and the public of the political circumstances surrounding the case and their reasons for breaking the law via civil disobedience .A technical defense may enhance the chances for acquittal but make for more boring proceedings and reduced press coverage .","Steven Barkan writes that if defendants plead not guilty , `` they must decide whether their primary goal will be to win an acquittal and avoid imprisonment or a fine , or to use the proceedings as a",for breaking the law via civil disobedience,"what must defendants decide if they want to win an acquittal ?
","why did the protesters want to use the case as a forum ?
"
533,80,"Some of the other allocution speeches given by the protesters complained about mistreatment from government officials .Steven Barkan writes that if defendants plead not guilty , `` they must decide whether their primary goal will be to win an acquittal and avoid imprisonment or a fine , or to use the proceedings as a forum to inform the jury and the public of the political circumstances surrounding the case and their reasons for breaking the law via civil disobedience .A technical defense may enhance the chances for acquittal but make for more boring proceedings and reduced press coverage .","Barkan writes that if defendants plead not guilty , `` they must decide whether their primary goal will be to win an acquittal and avoid imprisonment or a fine , or to use the proceedings as a","Steven Barkan writes that if defendants plead not guilty , `` they must decide whether their primary goal will be to win an acquittal and avoid imprisonment or a fine , or to use the proceedings","what must defendants decide if they want to win an acquittal or not ?
","what must defendants decide if they want to win an acquittal or not ?
"
534,68,"Dougherty , which held that the judge need not allow defendants to openly seek jury nullification .One theory is that , while disobedience may be helpful , any great amount of it would undermine the law by encouraging general disobedience which is neither conscientious nor of social benefit .Therefore , conscientious lawbreakers must be punished .",encouraging general disobedience which is neither conscientious nor of social benefit,"One theory is that , while disobedience may be helpful , any great amount of it would undermine the law","what is one theory that disobedience would undermine the law ?
","why was dougherty ' s ruling so important ?
"
535,1,"One theory is that , while disobedience may be helpful , any great amount of it would undermine the law by encouraging general disobedience which is neither conscientious nor of social benefit .Therefore , conscientious lawbreakers must be punished .Michael Bayles argues that if a person violates a law in order to create a test case as to the constitutionality of a law , and then wins his case , then that act did not constitute civil disobedience .","One theory is that , while disobedience may be helpful , any great amount of it would undermine the law by encouraging general disobedience which is neither conscientious nor of social benefit",conscientious lawbreakers must be punished .,"what is one theory about disobedience ?
","what is one theory that disobedience would undermine the law ?
"
536,16,"Therefore , conscientious lawbreakers must be punished .Michael Bayles argues that if a person violates a law in order to create a test case as to the constitutionality of a law , and then wins his case , then that act did not constitute civil disobedience .It has also been argued that breaking the law for self-gratification , as in the case of a homosexual or cannabis user who does not direct his act at securing the repeal of amendment of the law , is not civil disobedience .","a person violates a law in order to create a test case as to the constitutionality of a law , and","wins his case , then that act did not constitute civil disobedience .","what does michael bayles argue does not constitute civil disobedience ?
","what happens if a person violates a law in order to create a test case ?
"
537,67,"It has also been argued that breaking the law for self-gratification , as in the case of a homosexual or cannabis user who does not direct his act at securing the repeal of amendment of the law , is not civil disobedience .Likewise , a protestor who attempts to escape punishment by committing the crime covertly and avoiding attribution , or by denying having committed the crime , or by fleeing the jurisdiction , is generally viewed as not being a civil disobedient .Courts have distinguished between two types of civil disobedience : `` Indirect civil disobedience involves violating a law which is not , itself , the object of protest , whereas direct civil disobedience involves protesting the existence of a particular law by breaking that law .",committing the crime covertly and avoiding attribution,", or by denying having committed the crime , or by fleeing the jurisdiction , is generally viewed as not being a civil disobedient .","how does a protestor attempt to escape punishment ?
","how is a protestor viewed as being civil disobedient ?
"
538,67,"It has also been argued that breaking the law for self-gratification , as in the case of a homosexual or cannabis user who does not direct his act at securing the repeal of amendment of the law , is not civil disobedience .Likewise , a protestor who attempts to escape punishment by committing the crime covertly and avoiding attribution , or by denying having committed the crime , or by fleeing the jurisdiction , is generally viewed as not being a civil disobedient .Courts have distinguished between two types of civil disobedience : `` Indirect civil disobedience involves violating a law which is not , itself , the object of protest , whereas direct civil disobedience involves protesting the existence of a particular law by breaking that law .",denying having committed the crime,", or by fleeing the jurisdiction , is generally viewed as not being a civil disobedient .","what is one way a protestor can escape punishment ?
","how can a protestor escape punishment by denying having committed the crime ?
"
539,67,"It has also been argued that breaking the law for self-gratification , as in the case of a homosexual or cannabis user who does not direct his act at securing the repeal of amendment of the law , is not civil disobedience .Likewise , a protestor who attempts to escape punishment by committing the crime covertly and avoiding attribution , or by denying having committed the crime , or by fleeing the jurisdiction , is generally viewed as not being a civil disobedient .Courts have distinguished between two types of civil disobedience : `` Indirect civil disobedience involves violating a law which is not , itself , the object of protest , whereas direct civil disobedience involves protesting the existence of a particular law by breaking that law .",fleeing the jurisdiction,", is generally viewed as not being a civil disobedient .","what is one way a protestor can escape punishment ?
","what happens to a protestor who tries to escape punishment by denying having committed the crime ?
"
540,68,"Likewise , a protestor who attempts to escape punishment by committing the crime covertly and avoiding attribution , or by denying having committed the crime , or by fleeing the jurisdiction , is generally viewed as not being a civil disobedient .Courts have distinguished between two types of civil disobedience : `` Indirect civil disobedience involves violating a law which is not , itself , the object of protest , whereas direct civil disobedience involves protesting the existence of a particular law by breaking that law .During the Vietnam War , courts typically refused to excuse the perpetrators of illegal protests from punishment on the basis of their challenging the legality of the Vietnam War ; the courts ruled it was a political question .",breaking that law,"two types of civil disobedience : `` Indirect civil disobedience involves violating a law which is not , itself , the object of protest , whereas direct civil disobedience involves protesting the existence of a particular law","how does direct civil disobedience protest the existence of a particular law ?
","what types of civil disobedience have courts distinguished between ?
"
541,75,"Likewise , when Carter Wentworth was charged for his role in the Clamshell Alliance 's 1977 illegal occupation of the Seabrook Station Nuclear Power Plant , the judge instructed the jury to disregard his competing harms defense , and he was found guilty .Fully Informed Jury Association activists have sometimes handed out educational leaflets inside courthouses despite admonitions not to ; according to FIJA , many of them have escaped prosecution because `` prosecutors have reasoned -LRB- correctly -RRB- that if they arrest fully informed jury leafleters , the leaflets will have to be given to the leafleter 's own jury as evidence .Along with giving the offender his `` just deserts '' , achieving crime control via incapacitation and deterrence is a major goal of criminal punishment .",`` prosecutors have reasoned -LRB- correctly -RRB- that if they arrest fully informed jury leafleters,the leaflets will have to be given to the leafleter 's own jury as evidence .,"why haven ' t fully informed jury association activists been prosecuted ?
","what happens if a fully informed jury leafleter is arrested ?
"
542,14,"Likewise , when Carter Wentworth was charged for his role in the Clamshell Alliance 's 1977 illegal occupation of the Seabrook Station Nuclear Power Plant , the judge instructed the jury to disregard his competing harms defense , and he was found guilty .Fully Informed Jury Association activists have sometimes handed out educational leaflets inside courthouses despite admonitions not to ; according to FIJA , many of them have escaped prosecution because `` prosecutors have reasoned -LRB- correctly -RRB- that if they arrest fully informed jury leafleters , the leaflets will have to be given to the leafleter 's own jury as evidence .Along with giving the offender his `` just deserts '' , achieving crime control via incapacitation and deterrence is a major goal of criminal punishment .",they arrest fully informed,`` prosecutors have reasoned -LRB- correctly -RRB- that,"what will happen to the leaflets given to the leafleters ?
","why haven ' t fully informed jury association activists been prosecuted ?
"
543,76,"Along with giving the offender his `` just deserts '' , achieving crime control via incapacitation and deterrence is a major goal of criminal punishment .Brownlee argues , `` Bringing in deterrence at the level of justification detracts from the law 's engagement in a moral dialogue with the offender as a rational person because it focuses attention on the threat of punishment and not the moral reasons to follow this law .Leonard Hubert Hoffmann writes , `` In deciding whether or not to impose punishment , the most important consideration would be whether it would do more harm than good .",it focuses attention on the threat of punishment and not the moral reasons to follow this law .,"Brownlee argues , `` Bringing in deterrence at the level of justification detracts from the law 's engagement in a moral dialogue with the offender as a rational person","why does deterrence detract from the law ' s engagement with the offender ?
","how does brownlee feel about bringing in deterrence ?
"
544,0,This means that the objector has no right not to be punished .It is a matter for the state -LRB- including the judges -RRB- to decide on utilitarian grounds whether to do so or not .Construction is the process of constructing a building or infrastructure .,It is a matter for the state -LRB- including the judges -RRB- to decide on utilitarian grounds whether to do,or not . Construction is the process of constructing a building or infrastructure,"does the objector have a right to be punished ?
","what is the definition of construction ?
"
545,17,"Although building construction projects typically include various common elements , such as design , financial , estimating and legal considerations , many projects of varying sizes reach undesirable end results , such as structural collapse , cost overruns , and/or litigation .For this reason , those with experience in the field make detailed plans and maintain careful oversight during the project to ensure a positive outcome .Residential construction practices , technologies , and resources must conform to local building authority regulations and codes of practice .","Although building construction projects typically include various common elements , such as design , financial , estimating and legal considerations , many projects of varying sizes reach undesirable end results , such as structural collapse , cost overruns , and/or litigation",those with experience in the field make detailed plans and maintain careful oversight during the project to ensure a positive outcome .,"what are some of the problems with building construction ?
","what is one way to prevent an undesirable end result ?
"
546,47,"brick versus stone , versus timber -RRB- .Cost of construction on a per square meter -LRB- or per square foot -RRB- basis for houses can vary dramatically based on site conditions , local regulations , economies of scale -LRB- custom designed homes are often more expensive to build -RRB- and the availability of skilled tradespeople .As residential construction -LRB- as well as all other types of construction -RRB- can generate a lot of waste , careful planning again is needed here .",site conditions,"local regulations , economies of scale -LRB- custom designed homes are often more expensive to","what determines the cost of construction on a per square meter or per square foot basis ?
","what are some factors that can affect cost of construction ?
"
547,80,"Cost of construction on a per square meter -LRB- or per square foot -RRB- basis for houses can vary dramatically based on site conditions , local regulations , economies of scale -LRB- custom designed homes are often more expensive to build -RRB- and the availability of skilled tradespeople .As residential construction -LRB- as well as all other types of construction -RRB- can generate a lot of waste , careful planning again is needed here .New techniques of building construction are being researched , made possible by advances in 3D printing technology .","residential construction -LRB- as well as all other types of construction -RRB- can generate a lot of waste , careful planning again is needed here .","Cost of construction on a per square meter -LRB- or per square foot -RRB- basis for houses can vary dramatically based on site conditions , local regulations , economies of scale -LRB- custom designed homes are often more expensive to build -RRB- and the availability of skilled tradespeople .","why is careful planning needed for home construction ?
","what factors can affect the cost of construction on a per square meter or per square foot basis ?
"
548,15,"in contract with -RRB- the property owner .Under this system , once the design is completed by the design team , a number of construction companies or construction management companies may then be asked to make a bid for the work , either based directly on the design , or on the basis of drawings and a bill of quantities provided by a quantity surveyor .Following evaluation of bids , the owner typically awards a contract to the most cost efficient bidder .",the design is completed by the design team,"a number of construction companies or construction management companies may then be asked to make a bid for the work , either based directly on the design , or on the basis of drawings and a bill of quantities provided by a quantity surveyor .","what happens when construction companies or construction management companies are asked to make a bid for the work ?
","what happens after the design team has completed the work ?
"
549,80,"In the past , architects , interior designers , engineers , developers , construction managers , and general contractors were more likely to be entirely separate companies , even in the larger firms .Presently , a firm that is nominally an `` architecture '' or `` construction management '' firm may have experts from all related fields as employees , or to have an associated company that provides each necessary skill .Thus , each such firm may offer itself as `` one-stop shopping '' for a construction project , from beginning to end .","employees , or to have an associated company that provides each necessary skill .","Presently , a firm that is nominally an `` architecture '' or `` construction management '' firm may have experts from all related fields","how can an architecture or construction management firm have experts from all related fields ?
","are architects , interior designers , engineers , developers , and general contractors all considered to be part of the same firm ?
"
550,2,"Presently , a firm that is nominally an `` architecture '' or `` construction management '' firm may have experts from all related fields as employees , or to have an associated company that provides each necessary skill .Thus , each such firm may offer itself as `` one-stop shopping '' for a construction project , from beginning to end .This is designated as a `` design build '' contract where the contractor is given a performance specification and must undertake the project from design to construction , while adhering to the performance specifications .","Presently , a firm that is nominally an `` architecture '' or `` construction management '' firm may have experts from all related fields as employees , or to have an associated company that provides each necessary skill",", each such firm may offer itself as `` one-stop shopping '' for a construction project , from beginning to end .","what is a one - stop shopping contract ?
","what is a ` ` design build ' ' contract ?
"
551,75,"Underbids happen when builders ask for too little money to complete the project .Cash flow problems exist when the present amount of funding can not cover the current costs for labour and materials , and because they are a matter of having sufficient funds at a specific time , can arise even when the overall total is enough .Fraud is a problem in many fields , but is notoriously prevalent in the construction field .",they are a matter of having sufficient funds at a specific time,can arise even when the overall total is enough .,"why can cash flow problems arise even when the overall total is insufficient ?
","when can cash flow problems arise ?
"
552,79,"Mortgage bankers , accountants , and cost engineers are likely participants in creating an overall plan for the financial management of the building construction project .The presence of the mortgage banker is highly likely , even in relatively small projects since the owner 's equity in the property is the most obvious source of funding for a building project .Accountants act to study the expected monetary flow over the life of the project and to monitor the payouts throughout the process .",the owner 's equity in the property is the most obvious source of funding for a building project .,"The presence of the mortgage banker is highly likely , even in relatively small projects","why is the presence of a mortgage banker highly likely in small projects ?
","is the presence of a mortgage banker likely ?
"
553,80,"Cost engineers and estimators apply expertise to relate the work and materials involved to a proper valuation .Cost overruns with government projects have occurred when the contractor identified change orders or project changes that increased costs , which are not subject to competition from other firms as they have already been eliminated from consideration after the initial bid .The project must adhere to zoning and building code requirements .",they have already been eliminated from consideration after the initial bid .,"Cost overruns with government projects have occurred when the contractor identified change orders or project changes that increased costs , which are not subject to competition from other firms","why are change orders not subject to competition from other firms ?
","what can cause cost overruns with government projects ?
"
554,67,"Other legal requirements come from malum prohibitum considerations , or things that are a matter of custom or expectation , such as isolating businesses to a business district and residences to a residential district .An attorney may seek changes or exemptions in the law that governs the land where the building will be built , either by arguing that a rule is inapplicable -LRB- the bridge design will not cause a collapse -RRB- , or that the custom is no longer needed -LRB- acceptance of live-work spaces has grown in the community -RRB- .A construction project is a complex net of contracts and other legal obligations , each of which all parties must carefully consider .",arguing that a rule is inapplicable -LRB- the bridge design will not cause a collapse -RRB-,", or that the custom is no longer needed -LRB- acceptance of live-work spaces has grown in the community -RRB- .","how can an attorney seek changes or exemptions in the law that governs the land where a building will be built ?
","what are two reasons an attorney may seek exemptions in the law ?
"
555,0,"A construction project is a complex net of contracts and other legal obligations , each of which all parties must carefully consider .A contract is the exchange of a set of obligations between two or more parties , but it is not so simple a matter as trying to get the other side to agree to as much as possible in exchange for as little as possible .The time element in construction means that a delay costs money , and in cases of bottlenecks , the delay can be extremely expensive .","A contract is the exchange of a set of obligations between two or more parties , but it is not",simple a matter as trying to get the other side to agree to as much as possible in exchange for as little as possible .,"what is a contract ?
","is a contract simple or complicated ?
"
556,2,"The time element in construction means that a delay costs money , and in cases of bottlenecks , the delay can be extremely expensive .Thus , the contracts must be designed to ensure that each side is capable of performing the obligations set out .Contracts that set out clear expectations and clear paths to accomplishing those expectations are far more likely to result in the project flowing smoothly , whereas poorly drafted contracts lead to confusion and collapse .","The time element in construction means that a delay costs money , and in cases of bottlenecks , the delay can be extremely expensive",", the contracts must be designed to ensure that each side is capable of performing the obligations set out .","why is it important to ensure that each side is capable of performing obligations set out ?
","what must be done with the time element in construction ?
"
557,86,"Thus , the contracts must be designed to ensure that each side is capable of performing the obligations set out .Contracts that set out clear expectations and clear paths to accomplishing those expectations are far more likely to result in the project flowing smoothly , whereas poorly drafted contracts lead to confusion and collapse .There is also a growing number of new forms of procurement that involve relationship contracting where the emphasis is on a co-operative relationship between the principal and contractor and other stakeholders within a construction project .",contracts,confusion and collapse,"what must be designed to ensure that each side is capable of performing the obligations set out ?
","what do poorly drafted contracts lead to ?
"
558,15,"Often , it is not just one contractor , but a consortium of several contractors working together .Once these have been hired , they begin building the first phase of the project .As they build phase 1 , they design phase 2 .",these have been hired,they begin building the first phase of the project .,"when do the contractors begin building the first phase of a project ?
","what happens after a consortium of several contractors has been hired ?
"
559,80,"Once these have been hired , they begin building the first phase of the project .As they build phase 1 , they design phase 2 .This is in contrast to a design-bid-build contract , where the project is completely designed by the owner , then bid on , then completed .","they build phase 1 , they design phase 2 .","Once these have been hired , they begin building the first phase of the project .","what happens to phase 2 of a design - bid - build contract ?
","how does a design - bid - build contract begin ?
"
560,15,"During the construction of a building , the municipal building inspector inspects the building periodically to ensure that the construction adheres to the approved plans and the local building code .Once construction is complete and a final inspection has been passed , an occupancy permit may be issued .In the United States , the industry in 2014 has around $ 960 billion in annual revenue according to statistics tracked by the Census Bureau , of which $ 680 billion is private -LRB- split evenly between residential and nonresidential -RRB- and the remainder is government .",construction is complete and,an occupancy permit may be issued .,"when can an occupancy permit be issued ?
","what happens after the final inspection of a building ?
"
561,56,"Once construction is complete and a final inspection has been passed , an occupancy permit may be issued .In the United States , the industry in 2014 has around $ 960 billion in annual revenue according to statistics tracked by the Census Bureau , of which $ 680 billion is private -LRB- split evenly between residential and nonresidential -RRB- and the remainder is government .As of 2005 , there were about 667,000 firms employing 1 million contractors -LRB- 200,000 general contractors , 38,000 heavy , and 432,000 specialty -RRB- ; the average contractor employed fewer than 10 employees .",statistics,of which $ 680 billion is private -LRB- split evenly between residential and nonresidential -RRB- and the remainder is,"what does the census bureau use to track the revenue of the construction industry ?
","how much of the revenue does the construction industry have in 2014 ?
"
562,80,"In the United States , the industry in 2014 has around $ 960 billion in annual revenue according to statistics tracked by the Census Bureau , of which $ 680 billion is private -LRB- split evenly between residential and nonresidential -RRB- and the remainder is government .As of 2005 , there were about 667,000 firms employing 1 million contractors -LRB- 200,000 general contractors , 38,000 heavy , and 432,000 specialty -RRB- ; the average contractor employed fewer than 10 employees .As a whole , the industry employed an estimated 5 .","of 2005 , there were about 667,000 firms employing 1 million contractors -LRB- 200,000 general contractors , 38,000 heavy , and 432,000 specialty -RRB- ; the average contractor employed fewer than 10 employees .","statistics tracked by the Census Bureau , of which $ 680 billion is private -LRB- split evenly between residential and nonresidential -RRB- and the remainder is government .","how many contractors were there in the us in 2005 ?
","how much revenue does the industry have in 2014 ?
"
563,80,"As of 2005 , there were about 667,000 firms employing 1 million contractors -LRB- 200,000 general contractors , 38,000 heavy , and 432,000 specialty -RRB- ; the average contractor employed fewer than 10 employees .As a whole , the industry employed an estimated 5 .8 million as of April 2013 , with a 13 .","a whole , the industry employed an estimated","As of 2005 , there were about 667,000 firms employing 1 million contractors -LRB- 200,000 general contractors , 38,000 heavy , and 432,000 specialty -RRB- ; the average contractor employed fewer than 10 employees .","how many people were employed in the construction industry as of april 2013 ?
","as of 2005 , how many contractors were there ?
"
564,80,"The average earning for a professional in the construction industry in the Middle East , across all sectors , job types and levels of experience , is # 42,090 , compared to # 26,719 in the UK .This trend is not necessarily due to the fact that more affluent roles are available , however , as architects with 14 or more years experience working in the Middle East earn on average # 43,389 per annum , compared to # 40,000 in the UK .Some construction workers in the US/Canada have made more than $ 100,000 annually , depending on their trade .","architects with 14 or more years experience working in the Middle East earn on average # 43,389 per annum , compared to # 40,000 in the UK .","This trend is not necessarily due to the fact that more affluent roles are available , however","what is the average earning for architects in the middle east ?
","why is the middle east construction industry earning more than the uk ?
"
565,42,"The average earning for a professional in the construction industry in the Middle East , across all sectors , job types and levels of experience , is # 42,090 , compared to # 26,719 in the UK .This trend is not necessarily due to the fact that more affluent roles are available , however , as architects with 14 or more years experience working in the Middle East earn on average # 43,389 per annum , compared to # 40,000 in the UK .Some construction workers in the US/Canada have made more than $ 100,000 annually , depending on their trade .","more affluent roles are available , however",This trend is not necessarily,"why does the middle east construction industry have a higher earning rate than the uk ?
","is there a trend of more affluent jobs in the construction industry ?
"
566,2,"Other major causes of fatalities in the construction industry include electrocution , transportation accidents , and trench cave-ins .Private schools , also known as independent schools , non-governmental , or nonstate schools , are not administered by local , state or national governments ; thus , they retain the right to select their students and are funded in whole or in part by charging their students tuition , rather than relying on mandatory taxation through public -LRB- government -RRB- funding ; at some private schools students may be able to get a scholarship , which makes the cost cheaper , depending on a talent the student may have -LRB- e .g .","Private schools , also known as independent schools , non-governmental , or nonstate schools , are not administered by local , state or national governments",", they retain the right to select their students and are funded in whole or in part by charging their students tuition , rather than relying on mandatory taxation through public -LRB- government -RRB- funding ; at some private schools students may be able to get a scholarship , which makes the cost cheaper , depending on a talent the student may have -LRB- e .","are private schools administered by local or national governments ?
","why are private schools different from public schools ?
"
567,67,"Other major causes of fatalities in the construction industry include electrocution , transportation accidents , and trench cave-ins .Private schools , also known as independent schools , non-governmental , or nonstate schools , are not administered by local , state or national governments ; thus , they retain the right to select their students and are funded in whole or in part by charging their students tuition , rather than relying on mandatory taxation through public -LRB- government -RRB- funding ; at some private schools students may be able to get a scholarship , which makes the cost cheaper , depending on a talent the student may have -LRB- e .g .","charging their students tuition , rather than relying on mandatory taxation through public -LRB- government -RRB- funding","; at some private schools students may be able to get a scholarship , which makes the cost cheaper , depending on a talent the student may have -LRB-","how are private schools funded ?
","what is a benefit of private schools ?
"
568,0,"Private education in North America covers the whole gamut of educational activity , ranging from pre-school to tertiary level institutions .Annual tuition fees at K-12 schools range from nothing at so called ` tuition-free ' schools to more than $ 45,000 at several New England preparatory schools .The secondary level includes schools offering years 7 through 12 -LRB- year twelve is known as lower sixth -RRB- and year 13 -LRB- upper sixth -RRB- .",Annual tuition fees at K-12 schools range from nothing at,"called ` tuition-free ' schools to more than $ 45,000 at several New England preparatory schools .","what is the range of tuition fees at tuition - free schools ?
","what is the range of tuition fees at k - 12 schools ?
"
569,80,"Some such schools teach religious education , together with the usual academic subjects to impress their particular faith 's beliefs and traditions in the students who attend .Others use the denomination as more of a general label to describe on what the founders based their belief , while still maintaining a fine distinction between academics and religion .They include parochial schools , a term which is often used to denote Roman Catholic schools .","more of a general label to describe on what the founders based their belief , while still maintaining a fine distinction between academics and religion .",Others use the denomination,"what do some schools use the denomination for ?
","what do some schools use to describe on what the founders based their belief ?
"
570,36,"Other religious groups represented in the K-12 private education sector include Protestants , Jews , Muslims and the Orthodox Christians .Private schools in Australia may be favoured for many reasons : prestige and the social status of the ` old school tie ' ; better quality physical infrastructure and more facilities -LRB- e .g .",prestige and the social status of the ` old school tie ' ; better quality physical infrastructure and more facilities -LRB- e . g,Private schools in Australia may be favoured,"what are some of the reasons private schools in australia may be preferred ?
","what is one of the reasons that religious groups are represented in the private education sector ?
"
571,47,", higher-paid teachers ; and/or the belief that private schools offer a higher quality of education .Some schools offer the removal of the purported distractions of co-education ; the presence of boarding facilities ; or stricter discipline based on their power of expulsion , a tool not readily available to government schools .Student uniforms for Australian private schools are generally stricter and more formal than in government schools - for example , a compulsory blazer .",their power of expulsion,a tool not readily available to government schools .,"what tool is not readily available to government schools that can be used for stricter discipline ?
","what is the power of expulsion in private schools ?
"
572,80,"Ersatzschulen lack the freedom to operate completely outside of government regulation .Teachers at Ersatzschulen must have at least the same education and at least the same wages as teachers at public schools , an Ersatzschule must have at least the same academic standards as a public school and Article 7 , Paragraph 4 of the Grundgesetz , also forbids segregation of pupils according to the means of their parents -LRB- the so-called Sonderungsverbot -RRB- .Therefore , most Ersatzschulen have very low tuition fees and/or offer scholarships , compared to most other Western European countries .","teachers at public schools , an Ersatzschule must have at least the same academic standards as a public",Teachers at Ersatzschulen must have at least the same education and at least the same wages,"what must teachers at ersatzschulen have the same education as ?
","what must teachers at ersatzschulen have in common ?
"
573,1,"Teachers at Ersatzschulen must have at least the same education and at least the same wages as teachers at public schools , an Ersatzschule must have at least the same academic standards as a public school and Article 7 , Paragraph 4 of the Grundgesetz , also forbids segregation of pupils according to the means of their parents -LRB- the so-called Sonderungsverbot -RRB- .Therefore , most Ersatzschulen have very low tuition fees and/or offer scholarships , compared to most other Western European countries .However , it is not possible to finance these schools with such low tuition fees , which is why all German Ersatzschulen are additionally financed with public funds .","Teachers at Ersatzschulen must have at least the same education and at least the same wages as teachers at public schools , an Ersatzschule must have at least the same academic standards as a public school and Article 7 , Paragraph 4 of the Grundgesetz , also forbids segregation of pupils according to the means of their parents -LRB- the so-called Sonderungsverbot -RRB-","most Ersatzschulen have very low tuition fees and/or offer scholarships , compared to most other Western European countries .","what are the requirements for teachers at ersatzschulen ?
","do ersatzschulen have high or low tuition fees ?
"
574,98,"Therefore , most Ersatzschulen have very low tuition fees and/or offer scholarships , compared to most other Western European countries .However , it is not possible to finance these schools with such low tuition fees , which is why all German Ersatzschulen are additionally financed with public funds .The percentages of public money could reach 100 % of the personnel expenditures .","However , it is not possible to finance these schools with such low tuition fees",all German Ersatzschulen are additionally financed with public funds .,"why are all german ersatzschulen financed with public funds ?
","are all german ersatzschulen funded with public funds ?
"
575,0,"In India , private schools are called independent schools , but since some private schools receive financial aid from the government , it can be an aided or an unaided school .So , in a strict sense , a private school is an unaided independent school .For the purpose of this definition , only receipt of financial aid is considered , not land purchased from the government at a subsidized rate .","In India , private schools are called independent schools , but since some private schools receive financial aid from the government , it can be an aided or an unaided school","in a strict sense , a private school is an unaided independent school .","what are private schools called in india ?
","what is the definition of an unaided independent school ?
"
