Text,Question,Answer,Template
"To keep your nervous system safe , choose to : Bicycle helmets help protect from head injuries .","For what purpose do to choose ?","To keep your nervous system safe","AmPncQgTemplate"
"Do you want to be one of them ? Then adopt a healthy lifestyle now and follow it for life .","For what purpose do you follow it then ?","for life","AmPncQgTemplate"
"Fluorine needs one more electron to fill its outer energy level in order to have the most stable arrangement of electrons .","For what purpose does Fluorine need one more electron to fill its outer energy level ?","in order to have the most stable arrangement of electrons","AmPncQgTemplate"
"The trade - off is that more turns of the screw are needed to do the job because the distance over which the input force must be applied is greater .","For what purpose are more turns of the screw do needed because the distance over which the input force must be applied is greater ?","to do the job","AmPncQgTemplate"
"The trade - off is that more turns of the screw are needed to do the job because the distance over which the input force must be applied is greater .","Why are more turns of the screw do needed to do the job ?","because the distance over which the input force must be applied is greater","AmCauQgTemplate"
"A few rocks are not made of minerals because the material they are made of does not fit the definition of a mineral .","Why are A few rocks not made of minerals ?","because the material they are made of does not fit the definition of a mineral","AmCauQgTemplate"
"For example , the water that goes down the drain and enters the sewer system is purified and then redistributed for reuse .","For what purpose did the water that goes down the drain and enters the sewer system redistribute then ?","for reuse","AmPncQgTemplate"
"These bacteria use the organic substrates they break down to get their energy , carbon , and nutrients they need for survival .","For what purpose do they need their energy , carbon , and nutrients ?","for survival","AmPncQgTemplate"
"That s why the neutrons in the diagram above are labeled n0 .","Why are the neutrons in the diagram above labeled n0 ?","why","AmCauQgTemplate"
"Balanced forces , which are also equal and opposite , cancel each other out because they act on the same object .","Why do Balanced forces , which are also equal and opposite cancel each other ?","because they act on the same object","AmCauQgTemplate"
"That are sudden and dramatic because of random catastrophic events , such as a large asteroid impact .","Why are That are sudden and dramatic ?","because of random catastrophic events , such as a large asteroid impact","AmCauQgTemplate"
"They "" want "" to give up their few valence electrons so they will have a full outer energy level .","For what purpose have They give their few valence electrons ?","so they will have a full outer energy level","AmPncQgTemplate"
"What evidence is there that Earth is spherical ? What evidence was there before spaceships and satellites ? Try to design an experiment involving a ship and the ocean to show Earth is round .","For what purpose do an experiment involving a ship and the ocean design ?","to show Earth is round","AmPncQgTemplate"
"What evidence is there that Earth is spherical ? What evidence was there before spaceships and satellites ? Try to design an experiment involving a ship and the ocean to show Earth is round .","For what purpose do an experiment involve a ship and the ocean ?","to show Earth is round","AmPncQgTemplate"
"Items can be reused for the same purpose or for a different purpose .","For what purpose can Items be reused ?","for the same purpose or for a different purpose","AmPncQgTemplate"
"In a feedback loop , the hormone produced by a gland feeds back to control its own production by the gland .","For what purpose does the hormone produced by a gland feed back in a feedback loop ?","to control its own production by the gland","AmPncQgTemplate"
"Because the material separated , Earths core is made mostly of iron .","Why is Earths core made mostly of iron ?","Because the material separated","AmCauQgTemplate"
"For example , sulfuric acid ( H2 SO4 ) , which is found in car batteries , is a strong acid because nearly all of it breaks down into ions when it dissolves in water .","Why is sulfuric acid ( H2 SO4 ) , which is found in car batteries , a strong acid ?","because nearly all of it breaks down into ions when it dissolves in water","AmCauQgTemplate"
"For example , you can wear long sleeves and long pants to avoid tick and mosquito bites .","For what purpose can you wear long sleeves and long pants ?","to avoid tick and mosquito bites","AmPncQgTemplate"
"To see an example of parallax , try holding your finger about 1 foot ( 30 cm ) in front of your eyes .","For what purpose do holding your finger about 1 foot ( 30 cm ) in front of your eyes try ?","To see an example of parallax","AmPncQgTemplate"
"Then , in the 1800s , something happened to change all that .","For what purpose did something happen then then ?","to change all that","AmPncQgTemplate"
"That s why people should avoid eating too much of large fish such as tuna .","Why should people avoid eating too much of large fish such as tuna ?","why","AmCauQgTemplate"
"Since past asteroid impacts have been implicated in mass extinctions , astronomers are always on the lookout for new asteroids , and follow the known near - Earth asteroids closely , so they can predict a possible collision as early as possible .","For what purpose do astronomers follow the known near - Earth asteroids closely since past asteroid impacts have been implicated in mass extinctions ?","so they can predict a possible collision as early as possible","AmPncQgTemplate"
"Click image to the left for more content .","For what purpose do image click to the left ?","for more content","AmPncQgTemplate"
"These healthy lifestyle choices will help keep your immune system healthy so it can fight off respiratory infections and other diseases .","For what purpose do These healthy lifestyle choices keep your immune system healthy ?","so it can fight off respiratory infections and other diseases","AmPncQgTemplate"
"Summer temperatures are not as hot , and winter temperatures are not as cold , because water takes a long time to heat up or cool down .","Why are winter temperatures not are as cold ?","because water takes a long time to heat up or cool down","AmCauQgTemplate"
"The overall equation for this reaction is : NaOH + HCl H2 O and NaCl Now lets break this reaction down into two parts to see how each product forms .","For what purpose does this reaction break into two parts down ?","to see how each product forms","AmPncQgTemplate"
"Ethanol produces less pollution than gasoline , but large areas of land are needed to grow the plants needed to make it .","For what purpose are large areas of land needed ?","to grow the plants needed to make it","AmPncQgTemplate"
"Ethanol produces less pollution than gasoline , but large areas of land are needed to grow the plants needed to make it .","For what purpose did the plants need ?","to make it","AmPncQgTemplate"
"Spacecraft travel great distances to send back information on faraway places .","For what purpose do Spacecraft travel great distances ?","to send back information on faraway places","AmPncQgTemplate"
"It is eager to give up this electron in order to have a full outer energy level , because this will give it the most stable arrangement of electrons .","For what purpose have It give this electron because this will give it the most stable arrangement of electrons ?","in order to have a full outer energy level","AmPncQgTemplate"
"It is eager to give up this electron in order to have a full outer energy level , because this will give it the most stable arrangement of electrons .","Why have It give this electron in order to have a full outer energy level ?","because this will give it the most stable arrangement of electrons","AmCauQgTemplate"
"Astronomers can study light from stars to learn about the universe .","For what purpose can Astronomers study light from stars ?","to learn about the universe","AmPncQgTemplate"
"This is why they are used as side mirrors on cars .","Why are they used as side mirrors on cars ?","why","AmCauQgTemplate"
"Since its rare to find a meal , the fish use very little energy ; they move very little , breathe slowly , have minimal bone structure and a slow metabolism .","Why do the fish use very little energy ?","Since its rare to find a meal","AmCauQgTemplate"
"Because energy is the ability to do work , it is expressed in the same unit that is used for work .","Why is it expressed in the same unit that is used for work ?","Because energy is the ability to do work","AmCauQgTemplate"
"An inflating balloon is only a rough analogy to the expanding universe for several reasons .","Why is An inflating balloon only a rough analogy to the expanding universe ?","for several reasons","AmCauQgTemplate"
"Heavier objects also have more friction because they press together with greater force .","Why do Heavier objects have more friction ?","because they press together with greater force","AmCauQgTemplate"
"Because all halogens have seven valence electrons , they are eager to gain one more electron .","Why are they are eager to gain one more electron ?","Because all halogens have seven valence electrons","AmCauQgTemplate"
"For an interactive animation about the different forms of energy , visit this URL : After you read below about different forms of energy , you can check your knowledge by doing the drag and drop quiz at this URL : .","For what purpose do this URL visit ?","For an interactive animation about the different forms of energy","AmPncQgTemplate"
"If there are 12 hamburgers at a lunch table and 24 people sit down at a lunch table , will everyone be able to eat ? At first , maybe you will split hamburgers in half , but if more and more people keep coming to sit at the lunch table , you will not be able to feed everyone .","For what purpose do more and more people come ?","to sit at the lunch table","AmPncQgTemplate"
"It worked ! The gases combined to form water - soluble organic compounds including amino acids .","For what purpose did The gases combine ?","to form water - soluble organic compounds including amino acids","AmPncQgTemplate"
"Notice how the helix must unwind for transcription to take place .","For what purpose must the helix unwind how ?","for transcription to take place","AmPncQgTemplate"
"That s why salt water looks the same as pure water .","Why does salt water look the same as pure water ?","why","AmCauQgTemplate"
"Coefficients can be used to balance equation 1 ( above ) as follows : Equation 2 : 2 H2 + O2 2 H2 O Equation 2 shows that two molecules of hydrogen react with one molecule of oxygen to produce two molecules of water .","For what purpose does two molecules of hydrogen react with one molecule of oxygen ?","to produce two molecules of water","AmPncQgTemplate"
"To maximize the chance of getting a meal , some species may have jaws that unhinge to accept a larger fish or backward - folding teeth to keep prey from escaping .","For what purpose may some species have jaws that unhinge to accept a larger fish or backward - folding teeth to keep prey from escaping ?","To maximize the chance of getting a meal","AmPncQgTemplate"
"To maximize the chance of getting a meal , some species may have jaws that unhinge to accept a larger fish or backward - folding teeth to keep prey from escaping .","For what purpose do jaws unhinge ?","to accept a larger fish or backward - folding teeth to keep prey from escaping","AmPncQgTemplate"
"To maximize the chance of getting a meal , some species may have jaws that unhinge to accept a larger fish or backward - folding teeth to keep prey from escaping .","For what purpose do a larger fish or backward - folding teeth accept ?","to keep prey from escaping","AmPncQgTemplate"
"Ocean water is salty because water dissolves minerals out of rocks .","Why is Ocean water salty ?","because water dissolves minerals out of rocks","AmCauQgTemplate"
"People with type AB blood are called universal recipients because they can receive any blood type .","Why are People with type AB blood called universal recipients ?","because they can receive any blood type","AmCauQgTemplate"
"Over time , this material smashed together to form our Moon .","For what purpose did this material smash over time ?","to form our Moon","AmPncQgTemplate"
"That s why they are used in floor wax and similar products .","Why are they used in floor wax and similar products ?","why","AmCauQgTemplate"
"All the particles in the rings are like little moons , because they orbit around Saturn .","Why do All the particles in the rings be like little moons ?","because they orbit around Saturn","AmCauQgTemplate"
"For coal to be used as an energy source , it must first be mined .","For what purpose must it be mined first ?","For coal to be used as an energy source","AmPncQgTemplate"
"Why is oxygen essential for most life on Earth ? 1 .","Why is oxygen essential for most life on Earth ?","Why","AmCauQgTemplate"
"In addition , atoms are nt really indestructible because they can be changed to other forms of matter or energy .","Why are atoms nt are really indestructible ?","because they can be changed to other forms of matter or energy","AmCauQgTemplate"
"Because the eye continues to grow during childhood , myopia typically progresses until On the left , you can see how a person with normal vision sees two boys .","Why does myopia progress typically until On the left ?","Because the eye continues to grow during childhood","AmCauQgTemplate"
"Q : Why might you be more likely to float in water if you stretch out your body rather than curl up into a ball ? A : You would displace more water by stretching out your body , so there would be more buoyant force acting on it .","Why be you be more likely to float in water if you stretch out your body rather than curl up into a ball ?","Why","AmCauQgTemplate"
"Q : Why might you be more likely to float in water if you stretch out your body rather than curl up into a ball ? A : You would displace more water by stretching out your body , so there would be more buoyant force acting on it .","For what purpose would You displace more water by stretching out your body ?","so there would be more buoyant force acting on it","AmPncQgTemplate"
"So why did fish eventually evolve to have jaws ? Such an adaptation would allow fish to eat a much wider variety of food , including plants and other organisms .","Why did fish have evolve to have jaws eventually ?","why","AmCauQgTemplate"
"So why did fish eventually evolve to have jaws ? Such an adaptation would allow fish to eat a much wider variety of food , including plants and other organisms .","For what purpose did fish have evolve why eventually ?","to have jaws","AmPncQgTemplate"
"In response , the cerebellum sends commands to muscles to contract or relax so that the body stays balanced .","For what purpose does the cerebellum send commands to muscles in response ?","so that the body stays balanced","AmPncQgTemplate"
"Walk 500 meters in that direction to reach your destination .","For what purpose do 500 meters walk in that direction ?","to reach your destination","AmPncQgTemplate"
"Because the chest volume is larger , the air pressure inside the lungs is lower than the air pressure outside .","Why is the air pressure inside the lungs lower than the air pressure outside ?","Because the chest volume is larger","AmCauQgTemplate"
"Trans fats are manufactured and added to certain foods to keep them fresher for longer .","For what purpose are Trans fats manufactured ?","to keep them fresher for longer","AmPncQgTemplate"
"Trans fats are manufactured and added to certain foods to keep them fresher for longer .","For what purpose did Trans fats add to certain foods ?","to keep them fresher for longer","AmPncQgTemplate"
"To account for all the changes that had occurred on the planet , Earth must be a lot older than most people believed .","For what purpose be Earth be a lot older than most people believed ?","To account for all the changes that had occurred on the planet","AmPncQgTemplate"
"This is why francium is extremely rare in nature .","Why is francium extremely rare in nature ?","why","AmCauQgTemplate"
"The particles of a suspension are big enough to reflect light , so you can see them .","For what purpose are The particles of a suspension are big enough to reflect light ?","so you can see them","AmPncQgTemplate"
") Because of the ranges in temperature in specific locations around the planet , all three phases may be present in a single location or in a region .","Why be all three phases be present in a single location or in a region ?","Because of the ranges in temperature in specific locations around the planet","AmCauQgTemplate"
"That s why people were alarmed in the 1980s to learn that there was a hole in the ozone layer .","Why were to learn that there was a hole in the ozone layer alarmed people in the 1980s ?","why","AmCauQgTemplate"
"Consider the reaction in which hydrogen ( H2 ) and oxygen ( O2 ) combine to form water ( H2 O ) .","For what purpose do hydrogen ( H2 ) and oxygen ( O2 ) combine the reaction ?","to form water ( H2 O )","AmPncQgTemplate"
"It can be represented by the equation : Work = Force Distance This equation shows that the greater the force that is used to move an object or the farther the object is moved , the more work that is done .","For what purpose is the force used ?","to move an object","AmPncQgTemplate"
"It is also a transform fault because the San Andreas is a plate boundary .","Why is It a transform fault also ?","because the San Andreas is a plate boundary","AmCauQgTemplate"
"As evidence accumulated for this dual nature of electromagnetic radiation , the famous physicist Albert Einstein developed a new theory about electromagnetic radiation , called the wave - particle theory .","For what purpose did evidence accumulate ?","for this dual nature of electromagnetic radiation","AmPncQgTemplate"
"For example , muscle cells have extra mitochondria to provide the energy needed to move the body .","For what purpose did the energy need ?","to move the body","AmPncQgTemplate"
"Living things depend on catalysts to speed up many chemical reactions inside their cells .","For what purpose do Living things depend on catalysts ?","to speed up many chemical reactions inside their cells","AmPncQgTemplate"
"That s why we put sand on icy sidewalks and roads .","Why does we put sand on icy sidewalks and roads ?","why","AmCauQgTemplate"
"During photosynthesis , carbon dioxide and water combine with solar energy to create glucose , a carbohydrate ( C6 H12 O6 ) , and oxygen .","For what purpose do carbon dioxide and water combine with solar energy during photosynthesis ?","to create glucose , a carbohydrate ( C6 H12 O6 ) , and oxygen","AmPncQgTemplate"
"Watch this amazing flatworm video to learn about some of the other firsts these simple animals achieved , including being the first hunters : http://shapeoflife .","For what purpose do this amazing flatworm video watch ?","to learn about some of the other firsts these simple animals achieved , including being the first hunters : http://shapeoflife","AmPncQgTemplate"
"What can you do to avoid infectious diseases ? Eating well and getting plenty of sleep are a good start .","For what purpose can you do What ?","to avoid infectious diseases","AmPncQgTemplate"
"As a result , it wo nt travel as fast or as far as the baseball .","Why wo it nt travel as fast or as far as the baseball ?","As a result","AmCauQgTemplate"
"The city needed the land in order to build an elementary school .","For what purpose did The city need the land ?","in order to build an elementary school","AmPncQgTemplate"
"QUEST teams up with Climate Watch to give you an inside look at home energy efficiency .","For what purpose does QUEST team with Climate Watch ?","to give you an inside look at home energy efficiency","AmPncQgTemplate"
"The more rope segments that are helping to do the lifting work , the less force that is needed for the job .","For what purpose is the less force needed ?","for the job","AmPncQgTemplate"
"Why is this jogger sweating so much ? His sweat is soaking up his shirt because he has so much thermal energy .","Why do this jogger sweat so much ?","Why","AmCauQgTemplate"
"Why is this jogger sweating so much ? His sweat is soaking up his shirt because he has so much thermal energy .","Why is his shirt is has soaking His sweat ?","because he has so much thermal energy","AmCauQgTemplate"
"Some people receive allergy shots to help prevent allergic reactions .","For what purpose do Some people receive allergy shots ?","to help prevent allergic reactions","AmPncQgTemplate"
"To figure out how the solar system formed , we need to put together what we have learned .","For what purpose do we need to put together what we have learned ?","To figure out how the solar system formed","AmPncQgTemplate"
"Q : What ratio of hydrogen molecules ( H2 ) to oxygen molecules ( O2 ) is produced in the decomposition of water ? A : Two hydrogen molecules per oxygen molecule are produced because water ( H2 O ) has a ratio of two hydrogen atoms to one oxygen atom .","Why are Two hydrogen molecules per oxygen molecule has produced ?","because water ( H2 O ) has a ratio of two hydrogen atoms to one oxygen atom","AmCauQgTemplate"
"The letters do nt match the color names because stars were first grouped as A through O.","Why do the color names nt match The letters ?","because stars were first grouped as A through O.","AmCauQgTemplate"
"Asteroids are irregularly shaped because they do not have enough gravity to become round .","Why are Asteroids are irregularly shaped ?","because they do not have enough gravity to become round","AmCauQgTemplate"
"You must consume some lipids for these purposes .","For what purpose must You consume some lipids ?","for these purposes","AmPncQgTemplate"
"For a visual presentation on the urinary system and how it works , watch this video : .","For what purpose do this video watch ?","For a visual presentation on the urinary system and how it works","AmPncQgTemplate"
"Glaciers often form in the mountains because higher altitudes are colder and more likely to have snow that falls and collects .","Why do Glaciers form in the mountains often ?","because higher altitudes are colder and more likely to have snow that falls and collects","AmCauQgTemplate"
"RRNA becomes part of the ribosome , which is the site of protein synthesis , and tRNA brings an amino acid to the ribosome so it can be added to a growing chain during protein synthesis .","For what purpose does tRNA bring an amino acid to the ribosome ?","so it can be added to a growing chain during protein synthesis","AmPncQgTemplate"
"During translation , the genetic code in mRNA is read to make a protein .","For what purpose is the genetic code in mRNA read during translation ?","to make a protein","AmPncQgTemplate"
"Biomass is renewable because we can plant new trees or crops to replace the ones we use .","Why is Biomass renewable ?","because we can plant new trees or crops to replace the ones we use","AmCauQgTemplate"
"Biomass is renewable because we can plant new trees or crops to replace the ones we use .","For what purpose can we plant new trees or crops ?","to replace the ones we use","AmPncQgTemplate"
"We learned this both from the rock samples gathered by astronauts and from spacecraft sent to the Moon .","Why did We learn this ?","from the rock samples gathered by astronauts and from spacecraft sent to the Moon","AmCauQgTemplate"
"Fireflies give off visible light to attract mates .","For what purpose do Fireflies give visible light ?","to attract mates","AmPncQgTemplate"
"Reptiles were the first vertebrates that did not need water to reproduce .","For what purpose did the first vertebrates not need water ?","to reproduce","AmPncQgTemplate"
"Scientists do nt know for certain why magnetic reversals occur , but there is hard evidence showing that they have occurred .","Why do magnetic reversals occur ?","why","AmCauQgTemplate"
"This is because more young people are overweight , due to a high sugar and fat diet , now than ever before .","Why are more young people are overweight now ?","due to a high sugar and fat diet","AmCauQgTemplate"
"The standard model is a good theory because all of its predictions have been verified by experimental data .","Why is The standard model a good theory ?","because all of its predictions have been verified by experimental data","AmCauQgTemplate"
"The lenses focus images farther back in the eye , so they are on the retina instead of in front of it .","For what purpose are The lenses focus images farther back in the eye ?","so they are on the retina instead of in front of it","AmPncQgTemplate"
"The ground surface may be hotter or colder than the air a few feet above it , because rock and soil gain and lose heat readily .","Why be The ground surface be hotter or colder than the air a few feet above it ?","because rock and soil gain and lose heat readily","AmCauQgTemplate"
"Matter may be opaque because it absorbs light , reflects light , or does some combination of both .","Why be Matter be opaque ?","because it absorbs light , reflects light , or does some combination of both","AmCauQgTemplate"
"Oxygen is needed to make ozone , a molecule made of three oxygen ions , O3 .","For what purpose is Oxygen needed ?","to make ozone , a molecule made of three oxygen ions , O3","AmPncQgTemplate"
"Burning forests increases greenhouse gases in the atmosphere by releasing the CO2 stored in the biomass and also by removing the forest so that it can not store CO2 in the future .","For what purpose do the forest remove ?","so that it can not store CO2 in the future","AmPncQgTemplate"
"Your bones need calcium to grow properly .","For what purpose do Your bones need calcium ?","to grow properly","AmPncQgTemplate"
"Our muscles perform lactic acid fermentation during strenuous exercise , since oxygen can not be delivered to the muscles quickly enough .","Why do Our muscles perform lactic acid fermentation during strenuous exercise ?","since oxygen can not be delivered to the muscles quickly enough","AmCauQgTemplate"
"But cells do not "" eat "" apples or candy bars ; these foods need to be broken down so that cells can use them .","For what purpose be these foods broken ?","so that cells can use them","AmPncQgTemplate"
"The pencil lead slides easily over the paper , but there s just enough friction between the pencil and paper to leave a mark .","For what purpose does just enough friction between the pencil and paper s ?","to","AmPncQgTemplate"
"Glucose is a simple sugar molecule which can be combined with other glucose molecules to form large carbohydrates , such as starch .","For what purpose can a simple sugar molecule be combined with other glucose molecules ?","to form large carbohydrates , such as starch","AmPncQgTemplate"
"How do you use energy ? Do you take a shower when you first get out of bed ? What about taking a shower uses energy ? It takes energy to heat the water and to pump the water to your home .","For what purpose do energy take ?","to heat the water and to pump the water to your home","AmPncQgTemplate"
"If a kidney stone blocks a ureter , it must be removed so urine can leave the kidney and be excreted .","For what purpose must it be removed if a kidney stone blocks a ureter ?","so urine can leave the kidney and be excreted","AmPncQgTemplate"
"Since natural selection acts on the phenotype , if an allele causes death in a homozygous individual , aa , for example , it will not cause death in a heterozygous Aa individual .","Why will it not cause death if an allele causes death in a homozygous individual if an allele causes death in a homozygous individual in a heterozygous Aa individual ?","Since natural selection acts on the phenotype","AmCauQgTemplate"
"A source of energy is needed to disturb matter and start a mechanical wave .","For what purpose is A source of energy needed ?","to disturb matter and start a mechanical wave","AmPncQgTemplate"
"Oxygen needed for cellular respiration is brought into the body with each inhalation .","For what purpose did Oxygen need ?","for cellular respiration","AmPncQgTemplate"
"By helping reactants come together , a catalyst decreases the activation energy needed to start a chemical reaction .","For what purpose did the activation energy need ?","to start a chemical reaction","AmPncQgTemplate"
"This naming convention was adopted a long time ago to avoid confusion .","For what purpose was This naming convention adopted a long time ago ?","to avoid confusion","AmPncQgTemplate"
"The O then combines with an oxygen molecule ( O2 ) to form ozone ( O3 ) .","For what purpose does The O combine with an oxygen molecule ( O2 ) then ?","to form ozone ( O3 )","AmPncQgTemplate"
"Q : In a lab or factory , reactants can be heated to very high temperatures or placed under great pressure so they will react very quickly .","For what purpose did reactants place under great pressure in a lab or factory ?","so they will react very quickly","AmPncQgTemplate"
"These materials must be disposed of using government guidelines and records must be kept to show the government that the wastes were disposed of safely .","For what purpose must of be disposed using government guidelines and records ?","to show the government that the wastes were disposed of safely","AmPncQgTemplate"
"These materials must be disposed of using government guidelines and records must be kept to show the government that the wastes were disposed of safely .","For what purpose must government guidelines and records be kept ?","to show the government that the wastes were disposed of safely","AmPncQgTemplate"
"They move because Earth is spinning on its axis .","Why do They move ?","because Earth is spinning on its axis","AmCauQgTemplate"
"The oxygen atoms combine with molecules of oxygen to form ozone .","For what purpose do The oxygen atoms combine with molecules of oxygen ?","to form ozone","AmPncQgTemplate"
"The magnifications of all the lenses are multiplied together to yield the overall magnification of the microscope .","For what purpose are The magnifications of all the lenses multiplied together ?","to yield the overall magnification of the microscope","AmPncQgTemplate"
"What can you do to keep your skin healthy ? The most important step you can take is to protect your skin from sun exposure .","For what purpose can you do What ?","to keep your skin healthy","AmPncQgTemplate"
"Cellular Respiration is the process in which the cells of living things break down the organic compound glucose with oxygen to produce carbon dioxide and water .","For what purpose do the cells of living things break the organic compound glucose the process with oxygen ?","to produce carbon dioxide and water","AmPncQgTemplate"
"Once you have a viral STI , you are usually infected for life .","Why have you are infected once you have a viral STI once you have a viral STI ?","for life","AmCauQgTemplate"
"In a distant ancestor , it was needed to digest food .","For what purpose was it needed in a distant ancestor ?","to digest food","AmPncQgTemplate"
"To see how life evolved during the Precambrian and beyond , watch this wonderful video .","For what purpose do this wonderful video watch ?","To see how life evolved during the Precambrian and beyond","AmPncQgTemplate"
"The base in antacid tablets is weak enough to take for an upset stomach .","For what purpose do The base in antacid tablets take ?","for an upset stomach","AmPncQgTemplate"
"Since climate determines the type of vegetation that grows in an area , vegetation is used as an indicator of climate type .","Why is vegetation used as an indicator of climate type ?","Since climate determines the type of vegetation that grows in an area","AmCauQgTemplate"
"But since your chromosomes contain millions of nucleotides , there are many , many different combinations possible with those four letters .","Why do many , many different combinations possible with those four letters be ?","since your chromosomes contain millions of nucleotides","AmCauQgTemplate"
"Q : Why does a helium balloon float away if its not weighted down ? A : Helium atoms have just two protons , two neutrons , and two electrons , so they have less mass than any other atoms except hydrogen .","Why does a helium balloon float if its not weighted down ? A away ?","Why","AmCauQgTemplate"
"For a cartoon about the female reproductive system , watch this video : http://education - por The two ovaries are small , oval organs on either side of the abdomen .","For what purpose do this video watch ?","For a cartoon about the female reproductive system","AmPncQgTemplate"
"Friction occurs because no surface is perfectly smooth .","Why does Friction occur ?","because no surface is perfectly smooth","AmCauQgTemplate"
"Q : Why is it harder to turn a screw with more widely spaced threads ? A : The screw moves farther with each turn when the threads are more widely space , so more force must be applied to turn the screw and cover the greater distance .","Why is to turn a screw with more widely spaced threads harder ?","Why","AmCauQgTemplate"
"Q : Why is it harder to turn a screw with more widely spaced threads ? A : The screw moves farther with each turn when the threads are more widely space , so more force must be applied to turn the screw and cover the greater distance .","For what purpose must more force be applied ?","to turn the screw and cover the greater distance","AmPncQgTemplate"
"After watching , look up the mission to see what they found ! Click image to the left or use the URL below .","For what purpose do the mission look after watching ?","to see what they found","AmPncQgTemplate"
"As ATP is needed for the cells to function properly , every cell in your body needs oxygen .","For what purpose is ATP needed ?","for the cells to function properly","AmPncQgTemplate"
"Nitrogen is named first because it is farther to the left in the periodic table than oxygen .","Why is Nitrogen is named first ?","because it is farther to the left in the periodic table than oxygen","AmCauQgTemplate"
"Because Jupiter is so large , it reflects a lot of sunlight .","Why does a lot of sunlight reflect it ?","Because Jupiter is so large","AmCauQgTemplate"
"Scientists do nt know for certain why magnetic reversals occur , but there is hard evidence that they have for hundreds of millions of years .","Why do magnetic reversals occur ?","why","AmCauQgTemplate"
"Because calciumlike bariumabsorbs x - rays , bones show up white in x - ray images .","Why do bones show bones in x - ray images ?","Because calciumlike bariumabsorbs x - rays","AmCauQgTemplate"
"Vitamin D is unusual since you do nt have to rely on your diet alone to get enough of this vitamin .","Why is Vitamin D unusual ?","since you do nt have to rely on your diet alone to get enough of this vitamin","AmCauQgTemplate"
"As a result , not enough insulin is secreted to maintain normal levels of glucose in the blood .","Why is not enough insulin secreted to maintain normal levels of glucose in the blood ?","As a result","AmCauQgTemplate"
"As a result , not enough insulin is secreted to maintain normal levels of glucose in the blood .","For what purpose is not enough insulin secreted as a result ?","to maintain normal levels of glucose in the blood","AmPncQgTemplate"
"Lithium would need to gain seven electrons to fill its outer energy level and make it stable .","For what purpose do Lithium gain seven electrons ?","to fill its outer energy level and make it stable","AmPncQgTemplate"
"When they do , he surmised , they either bounce apart or stick together to form clumps of atoms .","For what purpose do they stick together when they do ?","to form clumps of atoms","AmPncQgTemplate"
"That s because the sound could nt travel away from the clock without air particles to pass the sound energy along .","For what purpose could the sound nt travel away from the clock without air particles ?","to pass the sound energy along","AmPncQgTemplate"
"Because the orbit of Venus is inside Earths orbit , Venus always appears close to the Sun .","Why appears Venus appears close to the Sun always ?","Because the orbit of Venus is inside Earths orbit","AmCauQgTemplate"
"All living things need energy all the time just to stay alive .","For what purpose do All living things need energy all the time ?","just to stay alive","AmPncQgTemplate"
"Sounds that people need to hear , such as the voices of co - workers , are not interfered with in this way and may be amplified instead so they can be heard more clearly .","For what purpose may Sounds that people need to hear , such as the voices of co - workers be amplified instead ?","so they can be heard more clearly","AmPncQgTemplate"
"Carbon dioxide is known as a greenhouse gas , since it lets in light energy but does not let heat escape , much like the panes of a greenhouse .","Why is Carbon dioxide known as a greenhouse gas ?","since it lets in light energy but does not let heat escape , much like the panes of a greenhouse","AmCauQgTemplate"
"For a good visual introduction to the endocrine system , watch this short video : http MEDIA Click image to the left or use the URL below .","For what purpose do this short video : http MEDIA Click image to the left or use the URL below watch ?","For a good visual introduction to the endocrine system","AmPncQgTemplate"
"The sun and other stars produce light because they are so hot .","Why do The sun and other stars produce light ?","because they are so hot","AmCauQgTemplate"
"But other than that , there is no work , because there is no net force acting on the box horizontally .","Why is no work other than that ?","because there is no net force acting on the box horizontally","AmCauQgTemplate"
"This is why people do not die from HIV .","Why do people not die ?","why","AmCauQgTemplate"
"This is why people do not die from HIV .","Why do people not die ?","why","AmCauQgTemplate"
"Worms in the phylum Platyhelminthes are called flatworms because they have flattened bodies .","Why are Worms in the phylum Platyhelminthes called flatworms ?","because they have flattened bodies","AmCauQgTemplate"
"The passageway traps the heated water underground , so that heat and pressure can build .","For what purpose does The passageway trap the heated water underground ?","so that heat and pressure can build","AmPncQgTemplate"
"Q : How is friction reduced between the moving parts inside a car engine ? A : To reduce friction , oil is added to the engine .","For what purpose is oil is added to the engine ?","To reduce friction","AmPncQgTemplate"
"Geothermal power uses heat from deep inside the Earth to generate electricity .","For what purpose does Geothermal power use heat from deep inside the Earth ?","to generate electricity","AmPncQgTemplate"
"An element is a pure substance because it can not be separated into any other substances .","Why is An element a pure substance ?","because it can not be separated into any other substances","AmCauQgTemplate"
"As a result of water pollution , humans may not be able to use a waterway for recreation and fishing .","Why be humans not be able to use a waterway for recreation and fishing ?","As a result of water pollution","AmCauQgTemplate"
"It stays open longer in dim light to let more light in .","For what purpose stays It stays open in dim light longer ?","to let more light in","AmPncQgTemplate"
"However , rings can join together to create larger molecules consisting of two or more rings .","For what purpose can rings join together ?","to create larger molecules consisting of two or more rings","AmPncQgTemplate"
"Although not yet widely used , many believe tidal power has more potential than wind or solar power for meeting alternative energy needs .","For what purpose do tidal power have more potential than wind or solar power ?","for meeting alternative energy needs","AmPncQgTemplate"
"The technology needed for solar power is still expensive .","For what purpose did The technology need ?","for solar power","AmPncQgTemplate"
"Laws have been passed to help protect them .","For what purpose have Laws been passed ?","to help protect them","AmPncQgTemplate"
